ORDER_ID,AMOUNT,CUSTOMER_ID
ORD0000001,344,CUS0000008
ORD0000002,867,CUS0000009
ORD0000003,1891,CUS0000002
ORD0000004,2005,CUS0000007
ORD0000005,4239,CUS0000002
ORD0000006,317,CUS0000009
ORD0000007,4697,CUS0000005
ORD0000008,1728,CUS0000010
ORD0000009,4564,CUS0000006
ORD0000010,3536,CUS0000010
ORD0000011,1905,CUS0000004
ORD0000012,3779,CUS0000002
ORD0000013,4927,CUS0000001
ORD0000014,2378,CUS0000004
ORD0000015,153,CUS0000005
ORD0000016,1407,CUS0000002
ORD0000017,3562,CUS0000004
ORD0000018,2887,CUS0000002
ORD0000019,2376,CUS0000007
ORD0000020,1373,CUS0000005
ORD0000021,1863,CUS0000008
ORD0000022,2857,CUS0000006
ORD0000023,937,CUS0000003
ORD0000024,859,CUS0000006
ORD0000025,3212,CUS0000006
ORD0000026,892,CUS0000004
ORD0000027,3040,CUS0000005
ORD0000028,2917,CUS0000002
ORD0000029,2266,CUS0000010
ORD0000030,455,CUS0000003
