ORDER_ID,AMOUNT,CUSTOMER_ID
ORD0000001,1891,CUS0000005
ORD0000002,2005,CUS0000002
ORD0000003,4239,CUS0000001
ORD0000004,317,CUS0000002
ORD0000005,4697,CUS0000010
ORD0000006,1728,CUS0000003
ORD0000007,4564,CUS0000009
ORD0000008,3536,CUS0000006
ORD0000009,1905,CUS0000001
ORD0000010,3779,CUS0000004
ORD0000011,4927,CUS0000004
ORD0000012,2378,CUS0000003
ORD0000013,153,CUS0000001
ORD0000014,1407,CUS0000003
ORD0000015,3562,CUS0000001
ORD0000016,2887,CUS0000002
ORD0000017,2376,CUS0000002
ORD0000018,1373,CUS0000009
ORD0000019,1863,CUS0000006
ORD0000020,2857,CUS0000001
ORD0000021,937,CUS0000003
ORD0000022,859,CUS0000001
ORD0000023,3212,CUS0000007
ORD0000024,892,CUS0000006
ORD0000025,3040,CUS0000001
ORD0000026,2917,CUS0000003
ORD0000027,2266,CUS0000003
ORD0000028,455,CUS0000001
ORD0000029,3863,CUS0000005
ORD0000030,4492,CUS0000003
ORD0000031,1122,CUS0000005
ORD0000032,3200,CUS0000003
ORD0000033,745,CUS0000001
ORD0000034,4622,CUS0000002
ORD0000035,2501,CUS0000001
ORD0000036,3062,CUS0000008
ORD0000037,4829,CUS0000006
ORD0000038,1675,CUS0000006
ORD0000039,669,CUS0000002
ORD0000040,475,CUS0000001
ORD0000041,1966,CUS0000006
ORD0000042,2470,CUS0000008
ORD0000043,753,CUS0000001
ORD0000044,2007,CUS0000002
ORD0000045,927,CUS0000001
ORD0000046,3213,CUS0000005
ORD0000047,2377,CUS0000005
ORD0000048,3814,CUS0000001
ORD0000049,3088,CUS0000002
ORD0000050,1432,CUS0000003
ORD0000051,3132,CUS0000001
ORD0000052,3010,CUS0000006
ORD0000053,1816,CUS0000002
ORD0000054,2287,CUS0000001
ORD0000055,684,CUS0000003
ORD0000056,1501,CUS0000004
ORD0000057,4475,CUS0000001
ORD0000058,2105,CUS0000002
ORD0000059,1438,CUS0000010
ORD0000060,3886,CUS0000003
ORD0000061,3208,CUS0000002
ORD0000062,2311,CUS0000003
ORD0000063,4662,CUS0000001
ORD0000064,1899,CUS0000001
ORD0000065,2756,CUS0000002
ORD0000066,558,CUS0000003
ORD0000067,1976,CUS0000001
ORD0000068,362,CUS0000001
ORD0000069,2684,CUS0000001
ORD0000070,3386,CUS0000003
ORD0000071,2293,CUS0000001
ORD0000072,642,CUS0000007
ORD0000073,1828,CUS0000006
ORD0000074,4746,CUS0000001
ORD0000075,2677,CUS0000001
ORD0000076,1841,CUS0000004
ORD0000077,4189,CUS0000001
ORD0000078,3341,CUS0000001
ORD0000079,3858,CUS0000008
ORD0000080,1270,CUS0000003
ORD0000081,2269,CUS0000002
ORD0000082,1243,CUS0000005
ORD0000083,2120,CUS0000005
ORD0000084,4698,CUS0000001
ORD0000085,4515,CUS0000001
ORD0000086,2252,CUS0000002
ORD0000087,4888,CUS0000002
ORD0000088,3609,CUS0000002
ORD0000089,4880,CUS0000004
ORD0000090,3371,CUS0000004
ORD0000091,3065,CUS0000010
ORD0000092,1896,CUS0000001
ORD0000093,1233,CUS0000002
ORD0000094,4274,CUS0000002
ORD0000095,4142,CUS0000006
ORD0000096,844,CUS0000001
ORD0000097,485,CUS0000001
ORD0000098,998,CUS0000002
ORD0000099,1352,CUS0000002
ORD0000100,1410,CUS0000001
