CUSTOMER_ID,COUNTRY_FIXED,COUNTRY_UNIFORM,COUNTRY_WEIGHTED,COUNTRY_RANDOM
CUS0000001,US,US,US,DE
CUS0000002,US,IN,US,US
CUS0000003,US,US,IN,US
CUS0000004,US,US,US,IN
CUS0000005,US,US,IN,FR
CUS0000006,US,IN,US,DE
CUS0000007,US,US,IN,IN
CUS0000008,US,FR,US,IN
CUS0000009,US,IN,FR,DE
CUS0000010,US,US,US,US
CUS0000011,US,DE,DE,DE
CUS0000012,US,US,IN,US
CUS0000013,US,FR,US,DE
CUS0000014,US,DE,IN,US
CUS0000015,US,US,IN,DE
CUS0000016,US,US,DE,US
CUS0000017,US,FR,US,DE
CUS0000018,US,IN,US,IN
CUS0000019,US,DE,IN,US
CUS0000020,US,IN,IN,IN
CUS0000021,US,IN,US,DE
CUS0000022,US,IN,IN,US
CUS0000023,US,IN,DE,DE
CUS0000024,US,FR,US,IN
CUS0000025,US,DE,US,FR
CUS0000026,US,FR,DE,FR
CUS0000027,US,IN,US,IN
CUS0000028,US,DE,IN,FR
CUS0000029,US,FR,US,IN
CUS0000030,US,FR,US,US
CUS0000031,US,US,US,IN
CUS0000032,US,FR,IN,FR
CUS0000033,US,FR,IN,FR
CUS0000034,US,DE,FR,US
CUS0000035,US,US,IN,DE
CUS0000036,US,DE,US,FR
CUS0000037,US,IN,US,DE
CUS0000038,US,IN,IN,US
CUS0000039,US,DE,DE,IN
CUS0000040,US,IN,US,IN
CUS0000041,US,US,IN,FR
CUS0000042,US,US,US,DE
CUS0000043,US,DE,US,IN
CUS0000044,US,US,US,FR
CUS0000045,US,US,FR,IN
CUS0000046,US,IN,IN,IN
CUS0000047,US,DE,IN,FR
CUS0000048,US,IN,DE,IN
CUS0000049,US,DE,US,DE
CUS0000050,US,FR,DE,FR
CUS0000051,US,US,US,US
CUS0000052,US,DE,US,IN
CUS0000053,US,IN,US,US
CUS0000054,US,IN,US,US
CUS0000055,US,DE,US,IN
CUS0000056,US,DE,IN,IN
CUS0000057,US,IN,IN,FR
CUS0000058,US,IN,IN,FR
CUS0000059,US,IN,US,FR
CUS0000060,US,DE,US,FR
CUS0000061,US,US,IN,US
CUS0000062,US,US,US,DE
CUS0000063,US,US,US,IN
CUS0000064,US,FR,US,IN
CUS0000065,US,DE,US,US
CUS0000066,US,FR,DE,US
CUS0000067,US,US,IN,US
CUS0000068,US,US,DE,IN
CUS0000069,US,IN,US,FR
CUS0000070,US,IN,DE,US
CUS0000071,US,IN,US,FR
CUS0000072,US,DE,DE,FR
CUS0000073,US,DE,US,FR
CUS0000074,US,IN,US,IN
CUS0000075,US,US,IN,US
CUS0000076,US,DE,US,FR
CUS0000077,US,IN,US,US
CUS0000078,US,IN,US,US
CUS0000079,US,IN,US,IN
CUS0000080,US,US,IN,FR
CUS0000081,US,DE,DE,IN
CUS0000082,US,DE,US,FR
CUS0000083,US,IN,IN,DE
CUS0000084,US,FR,US,US
CUS0000085,US,US,US,US
CUS0000086,US,US,IN,DE
CUS0000087,US,IN,DE,US
CUS0000088,US,IN,US,IN
CUS0000089,US,FR,DE,DE
CUS0000090,US,US,IN,DE
CUS0000091,US,US,DE,IN
CUS0000092,US,DE,US,US
CUS0000093,US,IN,US,IN
CUS0000094,US,DE,US,DE
CUS0000095,US,FR,US,US
CUS0000096,US,US,IN,DE
CUS0000097,US,US,US,IN
CUS0000098,US,DE,US,FR
CUS0000099,US,FR,IN,US
CUS0000100,US,US,DE,IN
CUS0000101,US,US,DE,IN
CUS0000102,US,FR,US,DE
CUS0000103,US,DE,DE,US
CUS0000104,US,DE,US,IN
CUS0000105,US,US,US,FR
