COMPANY_CODE,CUSTOMER_NUMBER,ACCOUNT_TYPE,CUSTOMER_NAME
3000,CUS622,STANDARD,KV05SZ9C
1000,CUS457,STANDARD,FUQUHZ6A830DM7X52DN
1000,CUS103,STANDARD,9IS25HBPKT9A9
2000,CUS128,PREMIUM,FOH3HJ5S6R044P39JY
2000,CUS005,STANDARD,6IER0V6RAST
1000,CUS915,STANDARD,5J284WV98Y3UMPYO0CU4YYJ
1000,CUS572,PREMIUM,CI6VG2G73AJ0JE4QVZFV
1000,CUS420,PREMIUM,8YU58CEPSOF1GG2KTBCUDSWX1J
3000,CUS774,PREMIUM,70LKLFYP5JO3
3000,CUS236,PREMIUM,Q3QA3S8KE2WT1Q3TMY4GPYWSS
1000,CUS357,STANDARD,ZRAD5
3000,CUS421,PREMIUM,OWOMQIGCT2CXIF
2000,CUS730,STANDARD,U0LMI8X76RKQ4S
1000,CUS131,STANDARD,VH3EJOZ9XFZAQ8H3XQYXGO4B9UOE
1000,CUS123,STANDARD,3T0HICCT5HGP8IY3X80J0G50R
1000,CUS384,PREMIUM,XN22PX
1000,CUS896,PREMIUM,X8WDZRMH
1000,CUS953,PREMIUM,FNBDVPINE9NNOVJARJI
3000,CUS072,PREMIUM,QLHBIAWPUBLQDI07HE42X6
3000,CUS468,PREMIUM,G26OC7T3BD4Z1G52EFUJEIR
1000,CUS109,PREMIUM,9UY7S361GH9N12O0V3Z0GU1U
3000,CUS301,PREMIUM,QXJ4EFFF1GXI9D99VH0W1DSTWG
1000,CUS815,STANDARD,6NJ4OGW9XHRO199BRBLRTVW
3000,CUS935,PREMIUM,LJZEJ
3000,CUS664,PREMIUM,BF7NY03VKXTUFDJKDFR21520RN6H
3000,CUS875,PREMIUM,1HS57TCOZDANTNIQ
3000,CUS235,STANDARD,UHA51LIY8O69WE
2000,CUS720,STANDARD,C1B3EU1Z0SHZBUK3X
1000,CUS903,PREMIUM,1GP1Z7F
2000,CUS841,PREMIUM,TVOVKE6H76MWWJPGJ
3000,CUS416,PREMIUM,MLJEL532UUJ2E
2000,CUS141,STANDARD,2TRDW6ET32CDXSEF6Y39
1000,CUS027,PREMIUM,C2MU46JD2GVF6LCP2277KXXSY0VDVE
1000,CUS654,PREMIUM,G9YSQJVFJWTZIFT
3000,CUS862,PREMIUM,YVI7F16XBXTLNV5MOIJESG
2000,CUS733,STANDARD,87CVIYJKLK2C0XP2S2O8P
2000,CUS395,PREMIUM,4MX23SY670KMIQ
2000,CUS140,STANDARD,4X9G7H
1000,CUS637,PREMIUM,FKR26J1FO2WB0D
1000,CUS882,PREMIUM,6XPYFXOBUGVJICS4I
2000,CUS380,PREMIUM,42AFBQNJ971HSPTHDP03EH58B6PJS
1000,CUS419,PREMIUM,AWP0LF7XE78669BY4C
1000,CUS380,PREMIUM,YXQBWEWPGVICW8VL34LIE3CSM
2000,CUS558,STANDARD,MCUT6Z
1000,CUS397,STANDARD,4QCMSWDVRHX1Z2YVL55X7R
2000,CUS472,STANDARD,F1F1L8SUGFUST21K2W2CW1RDEZX6KB
2000,CUS410,PREMIUM,2CIEPXXYC
3000,CUS475,PREMIUM,J2XX2EI7XZURPHBL57Y9HQQ2
2000,CUS085,STANDARD,S5MHIE2L2FU
1000,CUS178,PREMIUM,WE98STKLX6OHMIP5BX9X39IFET
3000,CUS991,PREMIUM,4700EIUE237WI9LI1
2000,CUS883,PREMIUM,DH7JTKKUOW7SFQM9RIT8F
3000,CUS199,STANDARD,KJKVCBFCQN0B58ST4PZT3
1000,CUS512,STANDARD,DK2043N
2000,CUS552,STANDARD,JUUWZIX69GUP3HR
1000,CUS323,PREMIUM,PJGDSY0PKUUMK5635T5
3000,CUS264,STANDARD,FZ63P
2000,CUS202,PREMIUM,WDDS54S8AG1
3000,CUS577,PREMIUM,QXZXCZD9M
3000,CUS536,STANDARD,9SEY629RHIGZXV9X
2000,CUS483,STANDARD,JM6Z6CCCIV473J6IUUKZTV6685T4B
3000,CUS367,PREMIUM,VH0TB4QOD4K7YJPC
1000,CUS788,PREMIUM,HMB2U0J0N064DI7N9U47YUL
3000,CUS888,PREMIUM,8V8WQ4MPR9TOTSN5U4W
1000,CUS285,PREMIUM,RSH8YZWJSCSFW2Q4NM8R9R
1000,CUS188,PREMIUM,GPPD7OODG
3000,CUS711,PREMIUM,V4GIA9K044MSUSDFO8
1000,CUS934,STANDARD,CL0LCZ5LSCATGVS3875I63RMHVK3
2000,CUS187,STANDARD,QLAVSMLZ16UFZGLI4UPAQYP2R
1000,CUS327,PREMIUM,TAQXPDH3TKZ6THS
1000,CUS954,PREMIUM,OOI4J3X0948NPF72
1000,CUS414,PREMIUM,XEHD96M8JKU72HN5F62D3
2000,CUS558,PREMIUM,603D93TBZ
2000,CUS140,PREMIUM,ANEC1WE8DE4CS
2000,CUS859,STANDARD,LI0XY2YYF8IWHL8Z7I
3000,CUS606,PREMIUM,OABT3818YOP3WJRMHC0BPNEGC2DP
2000,CUS496,STANDARD,CZ2O8NDI6SOUUPTJ7O0TRD9L195D
1000,CUS667,STANDARD,Y7U00JTYL84POTJ3
