COMPANY_CODE,CUSTOMER_NUMBER,ACCOUNT_TYPE,CUSTOMER_NAME
3000,CUS015,STANDARD,RPOIG8F1CBFNO6B9M80O2RAK1VRJ
1000,CUS098,PREMIUM,FYGWWQC3
3000,CUS016,PREMIUM,9SXMECO
2000,CUS011,STANDARD,YR3XKXWN
3000,CUS035,STANDARD,K8PK3YR9OUDOCUZRENUN5Z3J
2000,CUS018,STANDARD,98Q1ZXOI65FDHJK1EYY37Q9AH8RV
1000,CUS038,PREMIUM,3AQ6L6GT6M
1000,CUS048,STANDARD,7AU5BHXTPDPFF5E8II49KQ
3000,CUS078,PREMIUM,8MTZX272HPO
1000,CUS044,STANDARD,9OOAEDOECVE6PR5N8I4P40M
1000,CUS013,PREMIUM,103DGDZVGPMM82I1
1000,CUS036,PREMIUM,E29GD8AFPK05
2000,CUS028,PREMIUM,KYAYQ3
2000,CUS055,PREMIUM,MSND8DUDD
3000,CUS062,STANDARD,6FLEEP
2000,CUS016,STANDARD,CF07UQNUPQZIT3UEA3GE8N6
2000,CUS017,PREMIUM,PXSK28T
3000,CUS084,STANDARD,9TGIQHG9JRSNVNQ65QDF1RCAVI
3000,CUS034,STANDARD,2919AHEJ8CX9J1ICTXCWNPGW90JP
1000,CUS023,PREMIUM,LV0PR
1000,CUS090,STANDARD,C4OM3WTOOBMZVRERW
3000,CUS066,PREMIUM,8VBHQLQCG1WU16HYMQC1A78MX1
1000,CUS086,PREMIUM,UHT6T0UZS9IM0YLTZ9ATSN1U
2000,CUS057,PREMIUM,N64KFS6VFPTOMJBCP4E30MY5ZP
1000,CUS084,STANDARD,G1OL73D9PH3I379U26192K42QPR75
3000,CUS031,PREMIUM,ESPRVU8FIJOYJNE00V8
2000,CUS054,STANDARD,0YBY4AWTY08
3000,CUS095,STANDARD,OR15BYVZK3I8BZBF1I3L
1000,CUS034,PREMIUM,N3UVYR0QF4B8DWO
