ORDER_ID,START_DATE,END_DATE,MIN_AMOUNT,MAX_AMOUNT,ORDER_AMOUNT,CUSTOMER_NAME
ORD0000001,2027-03-04,2028-09-17,645.52,1711.9,794.32,8F1CBFNO
ORD0000002,2025-08-31,2028-10-23,3049.89,3437.65,3301.89,0O2RAK1VRJNVGFYGWWQC38
ORD0000003,2021-05-26,2025-08-23,4868.27,4878.65,4871.31,XMECOSFOGYR3XKXWNREK8PK3Y
ORD0000004,2023-01-10,2030-03-15,4948.66,4983.99,4956.42,DOCUZRENUN5Z3JQ
ORD0000005,2021-07-25,2027-11-10,1308.47,3298.12,2794.77,ZXOI65FDHJK1EYY37Q
ORD0000006,2030-11-21,2030-11-21,2810.81,4300.08,2981.41,RVHS1K3AQ6L6GT6MJXK87A
ORD0000007,2026-09-19,2026-10-28,1688.36,2058.83,1822.83,TPDPFF5E8II49KQ71N8MTZX272HPOE
ORD0000008,2023-10-16,2029-12-31,203.07,1306.91,446.15,DOECVE6
ORD0000009,2022-09-01,2028-02-10,1464.54,2221.97,1564.76,4P40MGG1W103DGDZVGPMM82
ORD0000010,2021-07-28,2024-09-10,2167.22,3477.74,3313.25,29GD8AF
ORD0000011,2030-05-22,2030-07-21,3792.47,3993.3,3890.0,ZDKYAYQ3S19
ORD0000012,2027-06-04,2028-04-16,3620.2,3882.22,3677.24,8DUDD4
ORD0000013,2025-08-21,2028-08-12,4605.0,4667.19,4664.75,LEEPZHP
ORD0000014,2026-06-29,2029-12-18,3013.14,3176.03,3120.22,7UQNUPQZIT3UEA3GE8N6QIW
ORD0000015,2029-11-17,2030-03-22,437.08,2123.2,703.06,T7A9TGIQHG9JRSNVNQ65QD
ORD0000016,2021-01-13,2030-05-03,3207.99,3703.8,3209.75,IQK2919AHEJ8CX9J1ICTXCWNPGW90
ORD0000017,2030-12-02,2030-12-06,3141.24,4862.01,3548.61,L0BLV0PRKG
ORD0000018,2024-04-15,2029-07-25,4373.62,4512.95,4487.4,WTOOBMZVRERW6Z8VBHQ
ORD0000019,2022-01-01,2024-12-23,2944.89,3023.51,2991.79,U16HYMQC1A78MX1E
ORD0000020,2030-08-22,2030-11-14,3354.76,4380.0,4034.89,T6T0UZS9
ORD0000021,2021-06-05,2028-11-18,1040.02,4763.84,3562.23,TZ9ATSN1U3
ORD0000022,2024-12-14,2027-05-08,2266.58,3663.83,3375.63,KFS6VFPTOMJBCP4E30MY5ZPJAG1OL7
ORD0000023,2025-03-17,2028-01-01,346.07,4615.91,864.25,379U26192
ORD0000024,2030-01-22,2030-09-22,879.87,2734.22,2273.93,R75PR2ESPRVU8FIJOYJNE00V8
ORD0000025,2025-03-23,2027-07-18,2137.29,4521.62,3065.93,BY4AWTY088O5OR15BYVZK3I8BZBF1
ORD0000026,2021-07-09,2023-07-23,4347.57,4380.38,4360.01,3UVYR0QF4B8
ORD0000027,2020-08-01,2024-07-04,4999.55,4999.65,4999.56,CBPMBJPI4HN3QXKHKTGBTYZME
ORD0000028,2026-08-22,2030-02-26,3484.01,3852.17,3740.69,HCW81XE6VA05G1
ORD0000029,2030-10-10,2030-12-07,1874.72,4085.26,2837.38,7R8431RUPFR2P3YVB5UL5NWQVRR9
ORD0000030,2020-02-11,2022-04-03,2631.47,2834.25,2777.49,9P452BFSOZPTX497W19V
ORD0000031,2023-12-12,2026-12-25,3543.99,3990.44,3646.91,MUH8LMN4R7SGMSOXLTA8IRCD9SI5
ORD0000032,2021-02-24,2027-08-03,4376.33,4553.66,4461.22,LDQ4HEZ5EDJJTFP
ORD0000033,2021-04-30,2025-12-29,2834.56,4147.5,3872.76,7Y22T1TDGNNQ
ORD0000034,2027-05-29,2028-10-01,497.82,1280.36,556.56,024SC
ORD0000035,2022-08-06,2025-10-07,1511.71,3963.93,2625.09,OQM1H8OJRJEDKTS2H3TZR6852F
ORD0000036,2026-09-15,2029-02-15,295.32,3751.07,2381.6,FOBRC
ORD0000037,2028-07-22,2029-11-15,3805.72,4425.51,4079.81,L15F4W0VUGKV0
ORD0000038,2027-10-12,2030-01-09,2527.8,4539.1,3634.21,FUQUHZ6A830DM7X52DN
ORD0000039,2022-12-29,2026-03-22,2791.18,3758.9,3466.89,BPKT9A90
ORD0000040,2021-01-16,2030-06-24,1201.03,4669.22,2801.42,J5S6R044
ORD0000041,2022-09-25,2024-05-09,2338.25,3359.26,3279.49,IER0V6RAST5J284WV98Y3
ORD0000042,2030-06-17,2030-08-04,1676.71,4936.11,2455.07,O0CU4YYJ5CI6VG2G7
ORD0000043,2030-03-18,2030-05-30,2338.95,3429.92,3053.3,E4QVZFV8Y
