ORDER_ID,START_DATE,END_DATE,MIN_AMOUNT,MAX_AMOUNT,ORDER_AMOUNT,CUSTOMER_NAME
ORD0000001,2027-03-04,2021-04-01,222.55,1447.64,1193.73,G8F1CBFNO6B9M80O2RAK1VRJNVGF
ORD0000002,2024-04-05,2021-01-31,1859.0,1785.38,1396.15,38HYF9
ORD0000003,2023-04-15,2029-04-20,3180.34,4438.71,1872.01,ECOSFOGYR3X
ORD0000004,2021-10-28,2024-02-25,1840.83,3383.86,3538.92,EK8PK3YR9OUDOCUZRENUN5Z3JQ
ORD0000005,2021-07-25,2022-10-07,3750.45,2740.99,3760.37,ZXOI65FDHJK1EYY37Q
ORD0000006,2030-11-21,2026-03-16,4317.82,156.26,3631.54,8RVHS1K3AQ6L6GT6MJXK87AU5B
ORD0000007,2021-04-03,2030-06-02,1878.61,4928.07,4053.2,DPFF5E8II49K
ORD0000008,2022-12-21,2025-12-01,4374.92,2173.38,1137.81,MTZX272HPOEVB9OOAEDOEC
ORD0000009,2029-08-22,2023-09-15,447.2,1266.22,3377.99,8I4P40MGG1W
ORD0000010,2024-09-30,2024-08-10,2388.42,3672.47,3399.49,GDZVGPMM82I1LR3PE29GD8AFP
ORD0000011,2021-11-12,2024-07-22,2479.64,1147.36,2065.1,KYAYQ3
ORD0000012,2023-03-14,2024-09-28,3513.3,3679.48,3938.47,5JMSND8DUDD467KD6FLEEPZHPC
ORD0000013,2026-12-11,2020-12-01,2154.2,2959.99,2661.64,NUPQZIT3UEA3G
ORD0000014,2020-10-27,2026-01-11,1144.46,1399.48,4672.97,PXSK28T
ORD0000015,2026-11-10,2029-01-18,3304.48,138.33,4103.81,GIQHG9JRSNVNQ6
ORD0000016,2025-06-24,2022-10-25,4536.15,4245.91,552.26,RCAVIQK2919AHEJ8CX
ORD0000017,2026-07-13,2026-03-13,825.66,724.48,1610.47,CWNPGW90JPKL0BLV0PRKGYC4OM3WTO
ORD0000018,2022-07-02,2020-04-06,3334.16,2052.48,1465.15,RW6Z8VB
ORD0000019,2021-04-17,2029-11-01,4854.96,974.98,4816.42,CG1WU16HYMQC1
ORD0000020,2020-01-07,2025-10-30,4635.32,2738.41,3625.21,MX1EVUHT6T0UZS9IM0YLTZ9ATSN1
