CUSTOMER_ID,CUSTOMER_TYPE,CUSTOMER_LIMIT,ORDER_AMOUNT
CUS0000001,STANDARD,1150.06,100.0
CUS0000002,PREMIUM,12413.6,8580.91
CUS0000003,STANDARD,1178.78,303.64
CUS0000004,STANDARD,2193.03,1261.9
CUS0000005,STANDARD,4535.59,2529.93
CUS0000006,PREMIUM,12585.12,3911.46
CUS0000007,PREMIUM,9692.76,1195.27
CUS0000008,PREMIUM,11829.81,8096.43
CUS0000009,STANDARD,6838.69,2547.99
CUS0000010,PREMIUM,11948.16,8479.24
CUS0000011,PREMIUM,7366.6,1701.23
CUS0000012,STANDARD,2396.75,187.1
CUS0000013,STANDARD,3188.99,854.76
CUS0000014,STANDARD,6619.93,3774.09
CUS0000015,STANDARD,5374.76,1031.71
CUS0000016,PREMIUM,12120.0,6121.78
CUS0000017,PREMIUM,13208.0,2970.59
CUS0000018,STANDARD,2606.45,1088.5
CUS0000019,PREMIUM,9517.42,5214.03
CUS0000020,PREMIUM,10670.81,2792.25
CUS0000021,STANDARD,2576.45,1709.78
CUS0000022,STANDARD,2315.92,1858.27
CUS0000023,STANDARD,1282.7,354.17
CUS0000024,PREMIUM,10377.28,1380.82
CUS0000025,PREMIUM,11232.91,9119.7
CUS0000026,STANDARD,5324.33,3110.16
CUS0000027,STANDARD,4845.77,797.73
CUS0000028,STANDARD,6722.9,4557.47
CUS0000029,STANDARD,2071.91,1901.33
CUS0000030,STANDARD,4833.7,2196.71
CUS0000031,PREMIUM,11315.03,7328.98
CUS0000032,STANDARD,2944.94,763.74
CUS0000033,PREMIUM,13653.32,3862.27
CUS0000034,PREMIUM,14575.6,2317.47
CUS0000035,STANDARD,5563.61,3167.32
CUS0000036,STANDARD,4298.82,1599.92
CUS0000037,STANDARD,2270.79,1314.25
CUS0000038,STANDARD,2870.3,2436.37
CUS0000039,STANDARD,4105.46,482.99
CUS0000040,STANDARD,4529.85,902.87
CUS0000041,STANDARD,4786.62,1651.18
CUS0000042,PREMIUM,7566.86,2186.33
CUS0000043,STANDARD,1793.87,1425.16
CUS0000044,STANDARD,5707.72,3487.46
CUS0000045,STANDARD,3586.31,1389.01
CUS0000046,PREMIUM,12386.92,9370.65
CUS0000047,STANDARD,3035.82,1883.36
CUS0000048,STANDARD,3691.68,1237.93
CUS0000049,STANDARD,6539.59,3043.83
CUS0000050,STANDARD,1303.53,1378.2
CUS0000051,PREMIUM,14410.94,9668.76
CUS0000052,STANDARD,2282.48,427.64
CUS0000053,STANDARD,6911.85,2258.39
CUS0000054,STANDARD,3538.04,3220.15
CUS0000055,STANDARD,5310.45,903.18
CUS0000056,PREMIUM,11633.44,5826.64
CUS0000057,STANDARD,4505.07,2388.99
CUS0000058,STANDARD,6764.67,741.64
CUS0000059,STANDARD,5051.28,956.67
CUS0000060,PREMIUM,8969.72,4749.22
CUS0000061,STANDARD,4502.03,2532.42
CUS0000062,STANDARD,5297.15,1310.55
CUS0000063,STANDARD,2799.98,1151.57
CUS0000064,STANDARD,3749.71,3491.81
CUS0000065,STANDARD,2278.93,1084.21
CUS0000066,PREMIUM,14034.16,4691.36
CUS0000067,PREMIUM,12628.32,7157.19
CUS0000068,STANDARD,1046.94,502.89
CUS0000069,STANDARD,6633.58,902.37
CUS0000070,STANDARD,4319.34,1360.22
CUS0000071,PREMIUM,8628.78,4457.75
CUS0000072,STANDARD,6432.02,4045.01
CUS0000073,STANDARD,2660.08,543.73
CUS0000074,STANDARD,2571.73,1643.23
CUS0000075,STANDARD,1058.02,544.64
CUS0000076,PREMIUM,11364.72,7858.44
CUS0000077,STANDARD,1764.67,956.23
CUS0000078,PREMIUM,13885.62,9836.13
CUS0000079,STANDARD,1616.76,1428.69
CUS0000080,STANDARD,4723.97,1413.35
CUS0000081,PREMIUM,14809.65,10000.0
CUS0000082,STANDARD,5419.39,2232.92
CUS0000083,PREMIUM,13912.51,9053.75
CUS0000084,PREMIUM,7864.77,5946.64
CUS0000085,STANDARD,5899.52,2296.04
CUS0000086,PREMIUM,8820.76,721.32
CUS0000087,STANDARD,6186.12,4584.64
CUS0000088,STANDARD,3398.07,2709.83
CUS0000089,PREMIUM,7922.73,5852.6
CUS0000090,PREMIUM,9123.73,1539.26
CUS0000091,PREMIUM,9509.42,4997.65
CUS0000092,STANDARD,4459.53,1449.9
CUS0000093,STANDARD,6553.45,3344.88
CUS0000094,PREMIUM,12365.03,3959.0
CUS0000095,STANDARD,2981.2,1301.23
CUS0000096,PREMIUM,9402.58,2884.3
CUS0000097,STANDARD,2773.93,445.0
CUS0000098,PREMIUM,12418.54,9205.44
CUS0000099,STANDARD,4287.62,216.89
CUS0000100,STANDARD,4479.91,2466.09
CUS0000101,STANDARD,2282.21,1385.34
CUS0000102,PREMIUM,8357.53,1347.28
CUS0000103,STANDARD,3011.13,2277.32
CUS0000104,STANDARD,2347.84,100.0
CUS0000105,STANDARD,3850.82,2248.44
CUS0000106,STANDARD,4778.59,1324.6
CUS0000107,STANDARD,2463.91,883.46
CUS0000108,PREMIUM,13160.37,2223.09
CUS0000109,STANDARD,6747.8,2671.55
CUS0000110,STANDARD,6090.02,2856.32
CUS0000111,STANDARD,6927.35,4030.21
CUS0000112,PREMIUM,11901.22,7187.07
CUS0000113,PREMIUM,11382.98,8530.98
CUS0000114,STANDARD,2555.15,835.39
CUS0000115,PREMIUM,11170.4,5792.36
CUS0000116,STANDARD,2714.37,607.42
CUS0000117,STANDARD,1830.24,673.26
CUS0000118,PREMIUM,7513.83,2937.84
CUS0000119,STANDARD,2241.01,1288.02
CUS0000120,STANDARD,5173.14,3885.3
CUS0000121,STANDARD,1035.38,611.96
CUS0000122,PREMIUM,14627.44,6000.71
CUS0000123,STANDARD,4619.52,894.52
CUS0000124,STANDARD,1174.15,572.82
CUS0000125,STANDARD,1990.27,477.82
CUS0000126,STANDARD,1161.8,501.01
CUS0000127,STANDARD,4856.5,908.67
CUS0000128,STANDARD,3274.62,639.48
CUS0000129,PREMIUM,10033.01,6616.67
CUS0000130,STANDARD,1491.44,208.8
CUS0000131,PREMIUM,9799.68,5721.04
CUS0000132,STANDARD,5525.4,3924.79
CUS0000133,STANDARD,1914.29,530.02
CUS0000134,STANDARD,2307.79,1627.63
CUS0000135,STANDARD,4643.48,2509.97
CUS0000136,PREMIUM,14717.77,2111.14
CUS0000137,STANDARD,5064.08,3799.65
