CUSTOMER_ID,CUSTOMER_TYPE,CUSTOMER_LIMIT,ORDER_AMOUNT
CUS0000001,STANDARD,1350.15,2822.79
CUS0000002,STANDARD,11310.6,6799.32
CUS0000003,PREMIUM,2217.14,4277.03
CUS0000004,STANDARD,4060.93,5103.02
CUS0000005,STANDARD,3783.73,6533.86
CUS0000006,STANDARD,4086.17,5933.73
CUS0000007,PREMIUM,1090.98,8077.61
CUS0000008,STANDARD,5763.51,1639.25
CUS0000009,PREMIUM,5712.32,1018.18
CUS0000010,STANDARD,12864.92,6076.89
CUS0000011,PREMIUM,11216.25,5408.66
CUS0000012,PREMIUM,6299.48,5565.2
CUS0000013,PREMIUM,9659.28,8630.9
CUS0000014,STANDARD,10864.01,553.66
CUS0000015,STANDARD,5051.43,889.94
CUS0000016,STANDARD,2414.02,2851.94
CUS0000017,STANDARD,6107.65,3764.79
CUS0000018,STANDARD,4737.69,9372.88
CUS0000019,STANDARD,9527.83,1794.27
CUS0000020,PREMIUM,3287.63,3856.61
CUS0000021,PREMIUM,9960.0,5613.8
CUS0000022,STANDARD,12799.93,7782.4
CUS0000023,STANDARD,1449.4,3222.99
CUS0000024,STANDARD,3953.76,9434.81
CUS0000025,PREMIUM,5405.49,6588.84
CUS0000026,STANDARD,13803.67,4642.63
CUS0000027,STANDARD,4452.79,5657.54
CUS0000028,STANDARD,9184.2,8988.45
CUS0000029,STANDARD,4070.49,9975.62
CUS0000030,STANDARD,2272.73,566.45
CUS0000031,STANDARD,9784.24,7941.59
CUS0000032,STANDARD,1889.39,3878.03
CUS0000033,PREMIUM,8407.6,9713.68
CUS0000034,PREMIUM,1160.73,7235.15
CUS0000035,STANDARD,8517.58,2741.57
CUS0000036,STANDARD,2561.73,4404.18
CUS0000037,STANDARD,14353.42,8770.94
CUS0000038,STANDARD,8008.21,1868.65
CUS0000039,PREMIUM,13187.26,3054.6
CUS0000040,STANDARD,9525.58,1613.11
CUS0000041,PREMIUM,8551.31,7808.4
CUS0000042,STANDARD,1008.01,3309.14
CUS0000043,STANDARD,14007.38,8799.35
CUS0000044,PREMIUM,5305.2,673.46
CUS0000045,PREMIUM,14257.29,947.97
CUS0000046,STANDARD,1968.98,7629.96
CUS0000047,PREMIUM,2797.48,4805.3
CUS0000048,STANDARD,4710.79,8737.09
CUS0000049,STANDARD,3965.17,5439.03
CUS0000050,PREMIUM,3816.11,3185.99
CUS0000051,PREMIUM,10098.29,4437.19
CUS0000052,STANDARD,2694.06,2324.5
CUS0000053,STANDARD,9236.32,2378.14
CUS0000054,STANDARD,1993.9,6347.92
CUS0000055,STANDARD,13675.88,8610.39
CUS0000056,STANDARD,4332.06,6722.88
CUS0000057,STANDARD,2852.37,9361.59
CUS0000058,STANDARD,7617.39,7867.73
CUS0000059,PREMIUM,3665.74,1059.62
CUS0000060,STANDARD,6930.1,4723.54
CUS0000061,PREMIUM,10427.1,9843.24
CUS0000062,STANDARD,6636.7,3459.1
CUS0000063,PREMIUM,4481.19,1983.07
CUS0000064,STANDARD,6906.34,2857.6
CUS0000065,STANDARD,13925.72,4486.99
CUS0000066,PREMIUM,8704.55,600.82
CUS0000067,PREMIUM,12704.39,9693.06
CUS0000068,PREMIUM,12881.74,1746.48
CUS0000069,STANDARD,3992.46,4070.3
CUS0000070,STANDARD,6305.62,9854.56
CUS0000071,STANDARD,11976.99,4604.58
CUS0000072,STANDARD,14402.45,9954.68
CUS0000073,STANDARD,11057.72,1632.49
CUS0000074,STANDARD,14561.93,5833.88
CUS0000075,STANDARD,11471.66,665.94
CUS0000076,STANDARD,8039.91,8541.93
CUS0000077,STANDARD,14450.9,893.1
CUS0000078,STANDARD,9330.49,6784.6
CUS0000079,STANDARD,2678.41,8913.84
CUS0000080,STANDARD,9323.27,6231.88
CUS0000081,STANDARD,9171.41,5275.55
CUS0000082,PREMIUM,3859.63,7190.3
CUS0000083,STANDARD,6541.0,6749.73
CUS0000084,STANDARD,5426.48,7543.46
CUS0000085,STANDARD,7416.0,9984.7
CUS0000086,PREMIUM,2025.65,2210.23
CUS0000087,STANDARD,14065.63,8820.56
CUS0000088,PREMIUM,6173.38,1661.69
CUS0000089,PREMIUM,10849.56,6155.61
CUS0000090,PREMIUM,10155.67,177.45
CUS0000091,PREMIUM,5191.3,6667.55
CUS0000092,PREMIUM,2880.08,1242.74
CUS0000093,STANDARD,8745.13,2796.25
CUS0000094,STANDARD,11046.57,2115.61
CUS0000095,STANDARD,4695.77,4936.47
CUS0000096,PREMIUM,12845.45,1013.75
CUS0000097,STANDARD,4873.52,135.1
CUS0000098,PREMIUM,9919.59,2693.36
CUS0000099,PREMIUM,8723.53,4334.1
CUS0000100,STANDARD,2053.41,8842.75
CUS0000101,PREMIUM,8638.26,8362.49
CUS0000102,STANDARD,3073.31,1361.71
CUS0000103,STANDARD,13585.74,7981.61
CUS0000104,PREMIUM,13584.94,2179.76
CUS0000105,STANDARD,2439.11,7823.15
CUS0000106,PREMIUM,6689.28,6244.55
CUS0000107,STANDARD,14018.33,8659.6
CUS0000108,PREMIUM,12350.8,8826.02
CUS0000109,STANDARD,11311.9,3388.64
CUS0000110,PREMIUM,12231.29,8654.23
CUS0000111,PREMIUM,4735.28,7895.01
CUS0000112,STANDARD,13210.33,8600.07
CUS0000113,STANDARD,12432.21,4657.0
CUS0000114,STANDARD,12134.84,2353.2
CUS0000115,STANDARD,3703.82,3349.79
CUS0000116,PREMIUM,14536.45,2863.34
CUS0000117,STANDARD,6595.5,9813.38
CUS0000118,STANDARD,14149.32,1241.88
CUS0000119,PREMIUM,3499.95,9629.09
CUS0000120,STANDARD,2517.64,4402.18
CUS0000121,PREMIUM,5391.48,6101.47
CUS0000122,STANDARD,6392.74,5808.22
CUS0000123,STANDARD,10922.99,116.74
CUS0000124,PREMIUM,8538.33,7222.36
CUS0000125,PREMIUM,10388.8,3705.79
CUS0000126,STANDARD,10299.33,3368.98
CUS0000127,STANDARD,12872.21,7225.57
