ORDER_ID,CUSTOMER_ID,BILL_TO_CUSTOMER_ID,AMOUNT
ORD0000001,CUS0000037,,4402.25
ORD0000002,CUS0000100,,4740.05
ORD0000003,CUS0000030,CUS0000019,519.7
ORD0000004,CUS0000078,,2481.35
ORD0000005,CUS0000046,CUS0000053,439.14
ORD0000006,CUS0000029,CUS0000008,3826.95
ORD0000007,CUS0000082,CUS0000076,3852.59
ORD0000008,CUS0000025,,729.12
ORD0000009,CUS0000080,,2428.88
ORD0000010,CUS0000033,,2794.04
ORD0000011,CUS0000087,CUS0000064,1398.78
ORD0000012,CUS0000097,CUS0000045,4374.92
ORD0000013,CUS0000093,,2173.38
ORD0000014,CUS0000099,,1137.81
ORD0000015,CUS0000085,,2742.55
ORD0000016,CUS0000088,CUS0000054,3676.66
ORD0000017,CUS0000018,CUS0000039,1085.64
ORD0000018,CUS0000081,CUS0000097,1627.41
ORD0000019,CUS0000013,CUS0000031,4976.23
ORD0000020,CUS0000081,,3284.4
ORD0000021,CUS0000083,CUS0000091,2246.69
ORD0000022,CUS0000006,CUS0000060,2636.12
ORD0000023,CUS0000040,,692.92
ORD0000024,CUS0000057,CUS0000054,1201.02
ORD0000025,CUS0000005,CUS0000018,1756.62
ORD0000026,CUS0000075,CUS0000033,2982.71
ORD0000027,CUS0000047,CUS0000083,1227.56
ORD0000028,CUS0000094,CUS0000058,1179.07
ORD0000029,CUS0000017,,447.87
ORD0000030,CUS0000012,CUS0000093,3192.4
ORD0000031,CUS0000038,,1221.81
ORD0000032,CUS0000042,CUS0000049,4536.56
ORD0000033,CUS0000096,,4312.21
ORD0000034,CUS0000054,,447.2
ORD0000035,CUS0000023,,1266.22
ORD0000036,CUS0000026,CUS0000098,3377.99
ORD0000037,CUS0000017,CUS0000086,1149.76
ORD0000038,CUS0000070,CUS0000062,748.33
ORD0000039,CUS0000047,CUS0000043,4684.02
ORD0000040,CUS0000068,CUS0000002,2898.11
ORD0000041,CUS0000065,CUS0000025,2416.09
ORD0000042,CUS0000035,,3944.64
ORD0000043,CUS0000022,CUS0000097,4056.74
ORD0000044,CUS0000033,CUS0000032,1033.01
ORD0000045,CUS0000062,,574.96
ORD0000046,CUS0000038,,2212.15
ORD0000047,CUS0000096,CUS0000031,2175.54
ORD0000048,CUS0000044,CUS0000100,2388.42
ORD0000049,CUS0000015,CUS0000060,3672.47
ORD0000050,CUS0000060,CUS0000046,3399.49
ORD0000051,CUS0000010,CUS0000047,4922.41
ORD0000052,CUS0000019,CUS0000064,582.25
ORD0000053,CUS0000097,CUS0000093,2072.84
