ORDER_ITEM_ID,ORDER_ID,PRODUCT_ID,QUANTITY
ITM0000001,ORD0000160,PRD0000041,6
ITM0000002,ORD0000181,PRD0000035,17
ITM0000003,ORD0000054,PRD0000019,15
ITM0000004,ORD0000296,PRD0000042,2
ITM0000005,ORD0000260,PRD0000020,18
ITM0000006,ORD0000109,PRD0000031,8
ITM0000007,ORD0000080,PRD0000016,4
ITM0000008,ORD0000247,PRD0000044,15
ITM0000009,ORD0000115,PRD0000026,5
ITM0000010,ORD0000056,PRD0000020,15
ITM0000011,ORD0000180,PRD0000030,17
ITM0000012,ORD0000285,PRD0000005,18
ITM0000013,ORD0000189,PRD0000045,20
ITM0000014,ORD0000059,PRD0000004,11
ITM0000015,ORD0000143,PRD0000011,15
ITM0000016,ORD0000294,PRD0000029,20
ITM0000017,ORD0000116,PRD0000027,17
ITM0000018,ORD0000220,PRD0000031,14
ITM0000019,ORD0000288,PRD0000030,18
ITM0000020,ORD0000286,PRD0000014,15
ITM0000021,ORD0000014,PRD0000022,6
ITM0000022,ORD0000137,PRD0000039,16
ITM0000023,ORD0000015,PRD0000010,15
ITM0000024,ORD0000093,PRD0000021,9
ITM0000025,ORD0000140,PRD0000046,8
ITM0000026,ORD0000159,PRD0000021,9
ITM0000027,ORD0000174,PRD0000047,17
ITM0000028,ORD0000180,PRD0000023,16
ITM0000029,ORD0000004,PRD0000026,8
ITM0000030,ORD0000093,PRD0000009,9
ITM0000031,ORD0000074,PRD0000049,15
ITM0000032,ORD0000290,PRD0000024,3
ITM0000033,ORD0000206,PRD0000033,10
ITM0000034,ORD0000036,PRD0000036,8
ITM0000035,ORD0000073,PRD0000007,9
ITM0000036,ORD0000016,PRD0000021,11
ITM0000037,ORD0000047,PRD0000016,11
ITM0000038,ORD0000272,PRD0000030,18
ITM0000039,ORD0000111,PRD0000008,3
ITM0000040,ORD0000193,PRD0000018,5
ITM0000041,ORD0000215,PRD0000029,5
ITM0000042,ORD0000233,PRD0000016,8
ITM0000043,ORD0000175,PRD0000010,13
ITM0000044,ORD0000081,PRD0000007,5
ITM0000045,ORD0000190,PRD0000004,7
ITM0000046,ORD0000160,PRD0000019,3
ITM0000047,ORD0000167,PRD0000025,14
ITM0000048,ORD0000291,PRD0000040,14
ITM0000049,ORD0000044,PRD0000027,11
ITM0000050,ORD0000027,PRD0000016,18
ITM0000051,ORD0000080,PRD0000011,15
ITM0000052,ORD0000081,PRD0000021,14
ITM0000053,ORD0000026,PRD0000037,2
ITM0000054,ORD0000042,PRD0000047,7
ITM0000055,ORD0000140,PRD0000021,14
ITM0000056,ORD0000227,PRD0000013,13
ITM0000057,ORD0000218,PRD0000049,19
ITM0000058,ORD0000249,PRD0000011,1
ITM0000059,ORD0000227,PRD0000032,19
ITM0000060,ORD0000213,PRD0000033,13
ITM0000061,ORD0000140,PRD0000030,16
ITM0000062,ORD0000111,PRD0000032,1
ITM0000063,ORD0000263,PRD0000020,12
ITM0000064,ORD0000059,PRD0000032,10
ITM0000065,ORD0000177,PRD0000002,13
ITM0000066,ORD0000221,PRD0000006,14
ITM0000067,ORD0000057,PRD0000026,18
ITM0000068,ORD0000146,PRD0000033,18
ITM0000069,ORD0000250,PRD0000030,20
ITM0000070,ORD0000270,PRD0000016,8
ITM0000071,ORD0000158,PRD0000014,16
ITM0000072,ORD0000024,PRD0000038,8
ITM0000073,ORD0000113,PRD0000023,9
ITM0000074,ORD0000203,PRD0000004,14
ITM0000075,ORD0000029,PRD0000004,16
ITM0000076,ORD0000004,PRD0000019,1
ITM0000077,ORD0000105,PRD0000032,13
ITM0000078,ORD0000155,PRD0000039,11
ITM0000079,ORD0000109,PRD0000042,13
ITM0000080,ORD0000071,PRD0000044,6
ITM0000081,ORD0000131,PRD0000031,15
ITM0000082,ORD0000149,PRD0000019,5
ITM0000083,ORD0000168,PRD0000035,20
ITM0000084,ORD0000062,PRD0000001,18
ITM0000085,ORD0000004,PRD0000007,1
ITM0000086,ORD0000255,PRD0000028,13
ITM0000087,ORD0000221,PRD0000009,19
ITM0000088,ORD0000090,PRD0000017,19
ITM0000089,ORD0000067,PRD0000047,1
