PRODUCT_ID,PRODUCT_TYPE
PRD0000001,PREMIUM
PRD0000002,SERVICE
PRD0000003,PREMIUM
PRD0000004,SERVICE
PRD0000005,PREMIUM
PRD0000006,SERVICE
PRD0000007,STANDARD
PRD0000008,SERVICE
PRD0000009,SERVICE
PRD0000010,STANDARD
PRD0000011,SERVICE
PRD0000012,SERVICE
PRD0000013,PREMIUM
PRD0000014,SERVICE
PRD0000015,PREMIUM
PRD0000016,STANDARD
PRD0000017,PREMIUM
PRD0000018,PREMIUM
PRD0000019,STANDARD
PRD0000020,PREMIUM
PRD0000021,STANDARD
PRD0000022,SERVICE
PRD0000023,SERVICE
PRD0000024,PREMIUM
PRD0000025,SERVICE
PRD0000026,STANDARD
PRD0000027,SERVICE
PRD0000028,STANDARD
PRD0000029,SERVICE
PRD0000030,PREMIUM
PRD0000031,SERVICE
PRD0000032,SERVICE
PRD0000033,SERVICE
PRD0000034,STANDARD
PRD0000035,STANDARD
PRD0000036,PREMIUM
PRD0000037,STANDARD
PRD0000038,SERVICE
PRD0000039,SERVICE
PRD0000040,STANDARD
PRD0000041,SERVICE
PRD0000042,PREMIUM
PRD0000043,PREMIUM
PRD0000044,STANDARD
PRD0000045,STANDARD
PRD0000046,PREMIUM
PRD0000047,PREMIUM
PRD0000048,STANDARD
PRD0000049,STANDARD
PRD0000050,STANDARD
