PROFILE_ID,CUSTOMER_ID
PRO0000001,CUS0000001
PRO0000002,CUS0000002
PRO0000003,CUS0000003
PRO0000004,CUS0000004
PRO0000005,CUS0000005
PRO0000006,CUS0000006
PRO0000007,CUS0000007
PRO0000008,CUS0000008
PRO0000009,CUS0000009
PRO0000010,CUS0000010
PRO0000011,CUS0000011
PRO0000012,CUS0000012
PRO0000013,CUS0000013
PRO0000014,CUS0000014
PRO0000015,CUS0000015
PRO0000016,CUS0000016
PRO0000017,CUS0000017
PRO0000018,CUS0000018
PRO0000019,CUS0000019
PRO0000020,CUS0000020
PRO0000021,CUS0000021
PRO0000022,CUS0000022
PRO0000023,CUS0000023
PRO0000024,CUS0000024
PRO0000025,CUS0000025
PRO0000026,CUS0000026
PRO0000027,CUS0000027
PRO0000028,CUS0000028
PRO0000029,CUS0000029
PRO0000030,CUS0000030
PRO0000031,CUS0000031
PRO0000032,CUS0000032
PRO0000033,CUS0000033
PRO0000034,CUS0000034
PRO0000035,CUS0000035
PRO0000036,CUS0000036
PRO0000037,CUS0000037
PRO0000038,CUS0000038
PRO0000039,CUS0000039
PRO0000040,CUS0000040
PRO0000041,CUS0000041
PRO0000042,CUS0000042
PRO0000043,CUS0000043
PRO0000044,CUS0000044
PRO0000045,CUS0000045
PRO0000046,CUS0000046
PRO0000047,CUS0000047
PRO0000048,CUS0000048
PRO0000049,CUS0000049
PRO0000050,CUS0000050
PRO0000051,CUS0000051
PRO0000052,CUS0000052
PRO0000053,CUS0000053
PRO0000054,CUS0000054
PRO0000055,CUS0000055
PRO0000056,CUS0000056
PRO0000057,CUS0000057
PRO0000058,CUS0000058
PRO0000059,CUS0000059
PRO0000060,CUS0000060
PRO0000061,CUS0000061
PRO0000062,CUS0000062
PRO0000063,CUS0000063
PRO0000064,CUS0000064
PRO0000065,CUS0000065
PRO0000066,CUS0000066
PRO0000067,CUS0000067
PRO0000068,CUS0000068
PRO0000069,CUS0000069
PRO0000070,CUS0000070
PRO0000071,CUS0000071
PRO0000072,CUS0000072
PRO0000073,CUS0000073
PRO0000074,CUS0000074
PRO0000075,CUS0000075
PRO0000076,CUS0000076
PRO0000077,CUS0000077
PRO0000078,CUS0000078
PRO0000079,CUS0000079
PRO0000080,CUS0000080
PRO0000081,CUS0000081
PRO0000082,CUS0000082
PRO0000083,CUS0000083
PRO0000084,CUS0000084
PRO0000085,CUS0000085
PRO0000086,CUS0000086
PRO0000087,CUS0000087
PRO0000088,CUS0000088
PRO0000089,CUS0000089
PRO0000090,CUS0000090
PRO0000091,CUS0000091
PRO0000092,CUS0000092
PRO0000093,CUS0000093
PRO0000094,CUS0000094
PRO0000095,CUS0000095
PRO0000096,CUS0000096
PRO0000097,CUS0000097
PRO0000098,CUS0000098
PRO0000099,CUS0000099
PRO0000100,CUS0000100
