SHIPMENT_ID,ORDER_ID
SHP0000001,ORD0000197
SHP0000002,ORD0000288
SHP0000003,ORD0000259
SHP0000004,ORD0000254
SHP0000005,ORD0000210
SHP0000006,ORD0000252
SHP0000007,ORD0000213
SHP0000008,ORD0000228
SHP0000009,ORD0000251
SHP0000010,ORD0000086
SHP0000011,ORD0000043
SHP0000012,ORD0000290
SHP0000013,ORD0000016
SHP0000014,ORD0000113
SHP0000015,ORD0000150
SHP0000016,ORD0000017
SHP0000017,ORD0000141
SHP0000018,ORD0000116
SHP0000019,ORD0000276
SHP0000020,ORD0000148
SHP0000021,ORD0000087
SHP0000022,ORD0000235
SHP0000023,ORD0000290
SHP0000024,ORD0000254
SHP0000025,ORD0000282
SHP0000026,ORD0000262
SHP0000027,ORD0000058
SHP0000028,ORD0000294
SHP0000029,ORD0000059
SHP0000030,ORD0000138
SHP0000031,ORD0000279
SHP0000032,ORD0000188
SHP0000033,ORD0000278
SHP0000034,ORD0000022
SHP0000035,ORD0000226
SHP0000036,ORD0000280
SHP0000037,ORD0000112
SHP0000038,ORD0000218
SHP0000039,ORD0000053
SHP0000040,ORD0000127
SHP0000041,ORD0000153
SHP0000042,ORD0000017
SHP0000043,ORD0000231
SHP0000044,ORD0000135
SHP0000045,ORD0000179
SHP0000046,ORD0000045
SHP0000047,ORD0000225
SHP0000048,ORD0000061
SHP0000049,ORD0000122
SHP0000050,ORD0000108
SHP0000051,ORD0000180
SHP0000052,ORD0000220
SHP0000053,ORD0000085
SHP0000054,ORD0000072
SHP0000055,ORD0000106
SHP0000056,ORD0000106
SHP0000057,ORD0000031
SHP0000058,ORD0000292
SHP0000059,ORD0000180
SHP0000060,ORD0000273
SHP0000061,ORD0000144
SHP0000062,ORD0000276
SHP0000063,ORD0000087
SHP0000064,ORD0000166
SHP0000065,ORD0000150
SHP0000066,ORD0000149
SHP0000067,ORD0000294
SHP0000068,ORD0000137
SHP0000069,ORD0000264
SHP0000070,ORD0000049
SHP0000071,ORD0000070
SHP0000072,ORD0000211
SHP0000073,ORD0000031
SHP0000074,ORD0000142
SHP0000075,ORD0000065
SHP0000076,ORD0000068
SHP0000077,ORD0000128
SHP0000078,ORD0000075
SHP0000079,ORD0000165
SHP0000080,ORD0000127
SHP0000081,ORD0000202
SHP0000082,ORD0000251
SHP0000083,ORD0000073
SHP0000084,ORD0000296
SHP0000085,ORD0000138
SHP0000086,ORD0000213
SHP0000087,ORD0000193
SHP0000088,ORD0000232
SHP0000089,ORD0000039
SHP0000090,ORD0000048
SHP0000091,ORD0000207
SHP0000092,ORD0000264
SHP0000093,ORD0000143
SHP0000094,ORD0000189
SHP0000095,ORD0000233
SHP0000096,ORD0000250
SHP0000097,ORD0000168
SHP0000098,ORD0000298
SHP0000099,ORD0000002
SHP0000100,ORD0000048
SHP0000101,ORD0000235
SHP0000102,ORD0000184
SHP0000103,ORD0000033
SHP0000104,ORD0000274
SHP0000105,ORD0000204
SHP0000106,ORD0000112
SHP0000107,ORD0000220
SHP0000108,ORD0000109
SHP0000109,ORD0000254
SHP0000110,ORD0000138
SHP0000111,ORD0000166
SHP0000112,ORD0000146
SHP0000113,ORD0000173
SHP0000114,ORD0000281
SHP0000115,ORD0000296
SHP0000116,ORD0000067
SHP0000117,ORD0000290
SHP0000118,ORD0000249
SHP0000119,ORD0000176
SHP0000120,ORD0000025
SHP0000121,ORD0000024
SHP0000122,ORD0000051
SHP0000123,ORD0000236
SHP0000124,ORD0000009
SHP0000125,ORD0000064
SHP0000126,ORD0000081
SHP0000127,ORD0000226
SHP0000128,ORD0000234
SHP0000129,ORD0000001
SHP0000130,ORD0000220
SHP0000131,ORD0000104
SHP0000132,ORD0000068
SHP0000133,ORD0000155
SHP0000134,ORD0000082
SHP0000135,ORD0000141
SHP0000136,ORD0000048
SHP0000137,ORD0000185
SHP0000138,ORD0000129
SHP0000139,ORD0000043
SHP0000140,ORD0000191
SHP0000141,ORD0000085
SHP0000142,ORD0000027
SHP0000143,ORD0000203
SHP0000144,ORD0000157
SHP0000145,ORD0000120
SHP0000146,ORD0000220
SHP0000147,ORD0000047
SHP0000148,ORD0000049
SHP0000149,ORD0000001
SHP0000150,ORD0000110
SHP0000151,ORD0000245
SHP0000152,ORD0000040
SHP0000153,ORD0000068
SHP0000154,ORD0000116
SHP0000155,ORD0000266
SHP0000156,ORD0000228
SHP0000157,ORD0000005
SHP0000158,ORD0000005
SHP0000159,ORD0000176
SHP0000160,ORD0000062
SHP0000161,ORD0000217
SHP0000162,ORD0000068
SHP0000163,ORD0000245
SHP0000164,ORD0000037
SHP0000165,ORD0000118
SHP0000166,ORD0000197
SHP0000167,ORD0000046
SHP0000168,ORD0000053
SHP0000169,ORD0000053
SHP0000170,ORD0000161
SHP0000171,ORD0000189
SHP0000172,ORD0000154
SHP0000173,ORD0000071
SHP0000174,ORD0000196
SHP0000175,ORD0000069
SHP0000176,ORD0000074
SHP0000177,ORD0000036
SHP0000178,ORD0000272
SHP0000179,ORD0000289
SHP0000180,ORD0000005
SHP0000181,ORD0000085
SHP0000182,ORD0000226
SHP0000183,ORD0000180
SHP0000184,ORD0000110
SHP0000185,ORD0000078
SHP0000186,ORD0000211
SHP0000187,ORD0000227
SHP0000188,ORD0000112
SHP0000189,ORD0000045
SHP0000190,ORD0000052
SHP0000191,ORD0000072
SHP0000192,ORD0000064
SHP0000193,ORD0000197
SHP0000194,ORD0000180
SHP0000195,ORD0000220
SHP0000196,ORD0000162
SHP0000197,ORD0000072
SHP0000198,ORD0000127
SHP0000199,ORD0000142
SHP0000200,ORD0000044
SHP0000201,ORD0000128
SHP0000202,ORD0000284
SHP0000203,ORD0000146
SHP0000204,ORD0000014
SHP0000205,ORD0000155
SHP0000206,ORD0000106
SHP0000207,ORD0000266
SHP0000208,ORD0000261
SHP0000209,ORD0000097
SHP0000210,ORD0000201
SHP0000211,ORD0000152
SHP0000212,ORD0000028
SHP0000213,ORD0000123
SHP0000214,ORD0000254
SHP0000215,ORD0000198
SHP0000216,ORD0000058
SHP0000217,ORD0000124
SHP0000218,ORD0000256
SHP0000219,ORD0000037
SHP0000220,ORD0000271
SHP0000221,ORD0000007
SHP0000222,ORD0000185
SHP0000223,ORD0000163
SHP0000224,ORD0000068
SHP0000225,ORD0000199
SHP0000226,ORD0000292
SHP0000227,ORD0000216
SHP0000228,ORD0000188
SHP0000229,ORD0000280
SHP0000230,ORD0000089
SHP0000231,ORD0000242
SHP0000232,ORD0000038
SHP0000233,ORD0000009
SHP0000234,ORD0000035
SHP0000235,ORD0000008
SHP0000236,ORD0000135
SHP0000237,ORD0000111
SHP0000238,ORD0000021
SHP0000239,ORD0000031
SHP0000240,ORD0000204
SHP0000241,ORD0000260
SHP0000242,ORD0000147
SHP0000243,ORD0000257
SHP0000244,ORD0000213
SHP0000245,ORD0000217
SHP0000246,ORD0000206
SHP0000247,ORD0000043
SHP0000248,ORD0000275
SHP0000249,ORD0000276
SHP0000250,ORD0000079
