CUSTOMER_ID,CUSTOMER_TYPE,COUNTRY
CUS0000001,STANDARD,US
CUS0000002,PREMIUM,IN
CUS0000003,STANDARD,IN
CUS0000004,STANDARD,US
CUS0000005,PREMIUM,US
CUS0000006,STANDARD,US
CUS0000007,STANDARD,IN
CUS0000008,STANDARD,IN
CUS0000009,PREMIUM,IN
CUS0000010,PREMIUM,DE
CUS0000011,STANDARD,IN
CUS0000012,PREMIUM,DE
CUS0000013,PREMIUM,IN
CUS0000014,STANDARD,DE
CUS0000015,STANDARD,US
CUS0000016,PREMIUM,US
CUS0000017,PREMIUM,DE
CUS0000018,PREMIUM,US
CUS0000019,PREMIUM,US
CUS0000020,PREMIUM,US
CUS0000021,PREMIUM,DE
CUS0000022,STANDARD,US
CUS0000023,STANDARD,IN
CUS0000024,PREMIUM,US
CUS0000025,STANDARD,US
CUS0000026,PREMIUM,DE
CUS0000027,PREMIUM,DE
CUS0000028,STANDARD,DE
CUS0000029,PREMIUM,IN
CUS0000030,PREMIUM,US
CUS0000031,STANDARD,IN
CUS0000032,STANDARD,FR
CUS0000033,PREMIUM,DE
CUS0000034,STANDARD,DE
CUS0000035,STANDARD,IN
CUS0000036,STANDARD,DE
CUS0000037,PREMIUM,DE
CUS0000038,STANDARD,IN
CUS0000039,PREMIUM,IN
CUS0000040,PREMIUM,FR
CUS0000041,PREMIUM,IN
CUS0000042,PREMIUM,IN
CUS0000043,STANDARD,DE
CUS0000044,PREMIUM,FR
CUS0000045,PREMIUM,IN
CUS0000046,STANDARD,FR
CUS0000047,STANDARD,US
CUS0000048,STANDARD,IN
CUS0000049,STANDARD,FR
CUS0000050,STANDARD,FR
CUS0000051,PREMIUM,FR
CUS0000052,PREMIUM,US
CUS0000053,STANDARD,DE
CUS0000054,PREMIUM,US
CUS0000055,PREMIUM,FR
CUS0000056,STANDARD,FR
CUS0000057,STANDARD,DE
CUS0000058,STANDARD,US
CUS0000059,PREMIUM,IN
CUS0000060,STANDARD,DE
CUS0000061,STANDARD,US
CUS0000062,PREMIUM,FR
CUS0000063,STANDARD,US
CUS0000064,PREMIUM,DE
CUS0000065,STANDARD,US
CUS0000066,STANDARD,US
CUS0000067,STANDARD,FR
CUS0000068,STANDARD,IN
CUS0000069,STANDARD,FR
CUS0000070,STANDARD,DE
CUS0000071,PREMIUM,IN
CUS0000072,STANDARD,DE
CUS0000073,PREMIUM,DE
CUS0000074,PREMIUM,FR
CUS0000075,STANDARD,IN
CUS0000076,STANDARD,US
CUS0000077,PREMIUM,US
CUS0000078,STANDARD,IN
CUS0000079,STANDARD,US
CUS0000080,STANDARD,IN
CUS0000081,STANDARD,US
CUS0000082,PREMIUM,US
CUS0000083,STANDARD,DE
CUS0000084,PREMIUM,IN
CUS0000085,STANDARD,FR
CUS0000086,STANDARD,FR
CUS0000087,PREMIUM,IN
CUS0000088,STANDARD,US
CUS0000089,PREMIUM,DE
CUS0000090,PREMIUM,FR
CUS0000091,PREMIUM,US
CUS0000092,STANDARD,US
CUS0000093,PREMIUM,DE
CUS0000094,STANDARD,IN
CUS0000095,STANDARD,IN
CUS0000096,PREMIUM,IN
CUS0000097,PREMIUM,IN
CUS0000098,PREMIUM,FR
CUS0000099,STANDARD,US
CUS0000100,PREMIUM,US
