ORDER_ID,CUSTOMER_ID,AMOUNT
ORD0000001,CUS0000082,1202.18
ORD0000002,CUS0000095,2822.79
ORD0000003,CUS0000029,1481.43
ORD0000004,CUS0000014,6799.32
ORD0000005,CUS0000070,960.69
ORD0000006,CUS0000055,414.65
ORD0000007,CUS0000012,2264.52
ORD0000008,CUS0000065,6059.99
ORD0000009,CUS0000072,2068.49
ORD0000010,CUS0000084,7043.12
ORD0000011,CUS0000054,2282.36
ORD0000012,CUS0000076,2854.09
ORD0000013,CUS0000001,7612.19
ORD0000014,CUS0000021,7011.58
ORD0000015,CUS0000044,2850.93
ORD0000016,CUS0000028,9576.41
ORD0000017,CUS0000044,1111.88
ORD0000018,CUS0000049,1057.49
ORD0000019,CUS0000045,6076.89
ORD0000020,CUS0000006,7324.34
ORD0000021,CUS0000069,1335.78
ORD0000022,CUS0000049,880.12
ORD0000023,CUS0000038,8311.11
ORD0000024,CUS0000080,8865.97
ORD0000025,CUS0000047,5815.79
ORD0000026,CUS0000091,788.6
ORD0000027,CUS0000085,2356.19
ORD0000028,CUS0000038,9853.69
ORD0000029,CUS0000030,8678.19
ORD0000030,CUS0000049,2851.94
ORD0000031,CUS0000082,8357.69
ORD0000032,CUS0000021,3764.79
ORD0000033,CUS0000027,6734.73
ORD0000034,CUS0000090,9372.88
ORD0000035,CUS0000083,806.88
ORD0000036,CUS0000082,1794.27
ORD0000037,CUS0000094,2523.63
ORD0000038,CUS0000060,3856.61
ORD0000039,CUS0000082,6912.8
ORD0000040,CUS0000029,6877.68
ORD0000041,CUS0000099,7782.4
ORD0000042,CUS0000030,8235.85
ORD0000043,CUS0000041,4071.53
ORD0000044,CUS0000009,2188.73
ORD0000045,CUS0000073,8776.04
ORD0000046,CUS0000041,2205.0
ORD0000047,CUS0000064,4016.76
ORD0000048,CUS0000083,4642.63
ORD0000049,CUS0000034,1482.34
ORD0000050,CUS0000096,5657.54
ORD0000051,CUS0000034,7495.44
ORD0000052,CUS0000055,8988.45
ORD0000053,CUS0000052,3683.76
ORD0000054,CUS0000018,5144.31
ORD0000055,CUS0000012,7582.24
ORD0000056,CUS0000015,1613.13
ORD0000057,CUS0000021,7941.59
ORD0000058,CUS0000055,6004.45
ORD0000059,CUS0000050,3878.03
ORD0000060,CUS0000060,5338.23
ORD0000061,CUS0000071,8621.72
ORD0000062,CUS0000002,6834.81
ORD0000063,CUS0000015,6848.93
ORD0000064,CUS0000069,7533.69
ORD0000065,CUS0000099,6445.52
ORD0000066,CUS0000015,3005.65
ORD0000067,CUS0000021,4591.86
ORD0000068,CUS0000093,8770.94
ORD0000069,CUS0000034,9721.69
ORD0000070,CUS0000098,1868.65
ORD0000071,CUS0000014,8718.13
ORD0000072,CUS0000039,8432.53
ORD0000073,CUS0000065,6128.81
ORD0000074,CUS0000020,3801.75
ORD0000075,CUS0000021,5439.85
ORD0000076,CUS0000100,9232.1
ORD0000077,CUS0000001,6029.55
ORD0000078,CUS0000063,292.82
ORD0000079,CUS0000047,8799.35
ORD0000080,CUS0000040,2470.58
ORD0000081,CUS0000031,8792.3
ORD0000082,CUS0000011,947.97
ORD0000083,CUS0000063,8178.63
ORD0000084,CUS0000098,5373.79
ORD0000085,CUS0000017,1371.08
ORD0000086,CUS0000061,9473.8
ORD0000087,CUS0000022,2724.06
ORD0000088,CUS0000078,4289.07
ORD0000089,CUS0000028,9296.24
ORD0000090,CUS0000097,7326.32
ORD0000091,CUS0000026,7158.19
ORD0000092,CUS0000052,9951.98
ORD0000093,CUS0000084,3796.86
ORD0000094,CUS0000067,4569.71
ORD0000095,CUS0000032,2324.5
ORD0000096,CUS0000044,308.24
ORD0000097,CUS0000071,2378.14
ORD0000098,CUS0000029,171.19
ORD0000099,CUS0000091,6347.92
ORD0000100,CUS0000030,767.26
ORD0000101,CUS0000005,8610.39
ORD0000102,CUS0000010,5190.15
ORD0000103,CUS0000036,6722.88
ORD0000104,CUS0000028,5438.42
ORD0000105,CUS0000093,9361.59
ORD0000106,CUS0000074,5804.5
ORD0000107,CUS0000032,7867.73
ORD0000108,CUS0000053,1985.06
ORD0000109,CUS0000013,6623.93
ORD0000110,CUS0000046,4293.43
ORD0000111,CUS0000060,8651.98
ORD0000112,CUS0000007,6766.31
ORD0000113,CUS0000083,1074.34
ORD0000114,CUS0000052,7309.31
ORD0000115,CUS0000014,2561.7
ORD0000116,CUS0000025,5409.23
ORD0000117,CUS0000018,4276.63
ORD0000118,CUS0000036,4680.02
ORD0000119,CUS0000010,4486.99
ORD0000120,CUS0000071,1069.3
ORD0000121,CUS0000084,9992.9
ORD0000122,CUS0000002,9693.06
ORD0000123,CUS0000097,8502.09
ORD0000124,CUS0000022,4123.5
ORD0000125,CUS0000062,2216.1
ORD0000126,CUS0000052,9034.18
ORD0000127,CUS0000022,3851.83
ORD0000128,CUS0000050,2725.51
ORD0000129,CUS0000059,2923.97
ORD0000130,CUS0000090,9577.44
ORD0000131,CUS0000072,6652.53
ORD0000132,CUS0000063,1632.49
ORD0000133,CUS0000038,2255.24
ORD0000134,CUS0000008,5833.88
ORD0000135,CUS0000070,703.48
ORD0000136,CUS0000041,665.94
ORD0000137,CUS0000075,4820.21
ORD0000138,CUS0000068,1658.58
ORD0000139,CUS0000066,893.1
ORD0000140,CUS0000024,778.36
ORD0000141,CUS0000009,6784.6
ORD0000142,CUS0000031,4097.38
ORD0000143,CUS0000073,2537.53
ORD0000144,CUS0000077,493.44
ORD0000145,CUS0000011,4250.33
ORD0000146,CUS0000075,5695.75
ORD0000147,CUS0000041,9353.59
ORD0000148,CUS0000027,6730.29
ORD0000149,CUS0000041,2462.99
ORD0000150,CUS0000051,1395.69
ORD0000151,CUS0000083,3069.97
ORD0000152,CUS0000041,9297.28
ORD0000153,CUS0000010,192.22
ORD0000154,CUS0000080,9984.7
ORD0000155,CUS0000013,825.28
ORD0000156,CUS0000028,5108.26
ORD0000157,CUS0000017,9339.27
ORD0000158,CUS0000009,8804.78
ORD0000159,CUS0000048,2921.38
ORD0000160,CUS0000057,8354.08
ORD0000161,CUS0000091,3094.92
ORD0000162,CUS0000084,5336.51
ORD0000163,CUS0000086,8189.33
ORD0000164,CUS0000039,9324.38
ORD0000165,CUS0000014,9395.41
ORD0000166,CUS0000018,2718.21
ORD0000167,CUS0000014,7449.93
ORD0000168,CUS0000020,2796.25
ORD0000169,CUS0000078,2185.23
ORD0000170,CUS0000044,2115.61
ORD0000171,CUS0000082,8543.84
ORD0000172,CUS0000065,4936.47
ORD0000173,CUS0000007,1013.75
ORD0000174,CUS0000055,8310.55
ORD0000175,CUS0000006,135.1
ORD0000176,CUS0000099,1395.11
ORD0000177,CUS0000034,1699.66
ORD0000178,CUS0000057,5561.64
ORD0000179,CUS0000055,5652.98
ORD0000180,CUS0000015,844.91
ORD0000181,CUS0000089,9048.89
ORD0000182,CUS0000070,456.68
ORD0000183,CUS0000048,5866.84
ORD0000184,CUS0000019,4354.89
ORD0000185,CUS0000006,3151.76
ORD0000186,CUS0000006,8999.35
ORD0000187,CUS0000027,6852.46
ORD0000188,CUS0000086,1117.66
ORD0000189,CUS0000100,5642.85
ORD0000190,CUS0000053,9740.99
ORD0000191,CUS0000096,1630.08
ORD0000192,CUS0000031,8659.6
ORD0000193,CUS0000023,8826.02
ORD0000194,CUS0000004,1875.67
ORD0000195,CUS0000043,7845.63
ORD0000196,CUS0000053,8042.13
ORD0000197,CUS0000095,8126.42
ORD0000198,CUS0000035,1676.06
ORD0000199,CUS0000090,1170.15
ORD0000200,CUS0000005,8600.07
ORD0000201,CUS0000029,2075.77
ORD0000202,CUS0000059,3561.62
ORD0000203,CUS0000030,2306.94
ORD0000204,CUS0000085,2011.98
ORD0000205,CUS0000043,2858.17
ORD0000206,CUS0000009,9672.2
ORD0000207,CUS0000036,3576.35
ORD0000208,CUS0000066,4056.82
