ORDER_ID,CUSTOMER_ID,AMOUNT
ORD0000001,CUS0000082,2890.65
ORD0000002,CUS0000095,622.56
ORD0000003,CUS0000029,3116.3
ORD0000004,CUS0000014,1385.73
ORD0000005,CUS0000070,265.18
ORD0000006,CUS0000055,2254.26
ORD0000007,CUS0000012,3749.1
ORD0000008,CUS0000065,1243.84
ORD0000009,CUS0000072,477.79
ORD0000010,CUS0000084,7610.6
ORD0000011,CUS0000054,3763.52
ORD0000012,CUS0000076,628.56
ORD0000013,CUS0000001,1541.73
ORD0000014,CUS0000021,7585.12
ORD0000015,CUS0000044,4222.97
ORD0000016,CUS0000028,1918.7
ORD0000017,CUS0000044,2817.68
ORD0000018,CUS0000049,283.76
ORD0000019,CUS0000045,6829.81
ORD0000020,CUS0000006,1486.49
ORD0000021,CUS0000069,337.17
ORD0000022,CUS0000049,249.72
ORD0000023,CUS0000038,1675.87
ORD0000024,CUS0000080,1782.36
ORD0000025,CUS0000047,1196.97
ORD0000026,CUS0000091,2556.44
ORD0000027,CUS0000085,533.01
ORD0000028,CUS0000038,1971.92
ORD0000029,CUS0000030,8931.87
ORD0000030,CUS0000049,628.15
ORD0000031,CUS0000082,8672.88
ORD0000032,CUS0000021,4961.45
ORD0000033,CUS0000027,7361.4
ORD0000034,CUS0000090,9493.24
ORD0000035,CUS0000083,235.66
ORD0000036,CUS0000082,3369.11
ORD0000037,CUS0000094,565.14
ORD0000038,CUS0000060,820.97
ORD0000039,CUS0000082,7505.3
ORD0000040,CUS0000029,7476.91
ORD0000041,CUS0000099,1574.4
ORD0000042,CUS0000030,8574.42
ORD0000043,CUS0000041,5209.32
ORD0000044,CUS0000009,3687.86
ORD0000045,CUS0000073,9010.94
ORD0000046,CUS0000041,3701.01
ORD0000047,CUS0000064,5165.06
ORD0000048,CUS0000083,971.82
ORD0000049,CUS0000034,365.3
ORD0000050,CUS0000096,6490.95
ORD0000051,CUS0000034,1519.33
ORD0000052,CUS0000055,9182.58
ORD0000053,CUS0000052,4895.97
ORD0000054,CUS0000018,6076.21
ORD0000055,CUS0000012,8046.26
ORD0000056,CUS0000015,390.4
ORD0000057,CUS0000021,8336.63
ORD0000058,CUS0000055,6771.27
ORD0000059,CUS0000050,825.08
ORD0000060,CUS0000060,1105.32
ORD0000061,CUS0000071,8886.24
ORD0000062,CUS0000002,7442.27
ORD0000063,CUS0000015,1395.25
ORD0000064,CUS0000069,1526.67
ORD0000065,CUS0000099,1317.83
ORD0000066,CUS0000015,657.65
ORD0000067,CUS0000021,5629.79
ORD0000068,CUS0000093,9006.82
ORD0000069,CUS0000034,1946.59
