ORDER_ID,CUSTOMER_ID,AMOUNT
ORD0000001,CUS0000003,7998.8
ORD0000002,CUS0000087,3082.49
ORD0000003,CUS0000054,12090.34
ORD0000004,CUS0000093,17569.88
ORD0000005,CUS0000081,1506.3
ORD0000006,CUS0000061,6045.08
ORD0000007,CUS0000084,15875.18
ORD0000008,CUS0000100,11991.01
ORD0000009,CUS0000030,14706.6
ORD0000010,CUS0000075,10128.53
ORD0000011,CUS0000068,12951.48
ORD0000012,CUS0000080,15717.52
ORD0000013,CUS0000049,3807.74
ORD0000014,CUS0000088,5601.73
ORD0000015,CUS0000074,19015.9
ORD0000016,CUS0000015,4624.9
ORD0000017,CUS0000057,6960.16
ORD0000018,CUS0000020,8846.24
ORD0000019,CUS0000027,8797.17
ORD0000020,CUS0000100,12618.08
ORD0000021,CUS0000061,17583.54
ORD0000022,CUS0000095,14820.64
ORD0000023,CUS0000091,3623.57
ORD0000024,CUS0000027,11656.85
ORD0000025,CUS0000085,10089.05
ORD0000026,CUS0000049,6961.3
ORD0000027,CUS0000023,9733.61
ORD0000028,CUS0000069,7504.21
ORD0000029,CUS0000046,13841.5
ORD0000030,CUS0000093,13934.17
ORD0000031,CUS0000089,6022.88
ORD0000032,CUS0000062,4653.02
ORD0000033,CUS0000032,6301.12
ORD0000034,CUS0000039,5272.47
ORD0000035,CUS0000039,15652.31
ORD0000036,CUS0000091,4938.28
ORD0000037,CUS0000091,10291.06
ORD0000038,CUS0000062,7627.26
ORD0000039,CUS0000093,6195.69
ORD0000040,CUS0000016,11896.06
ORD0000041,CUS0000070,8214.19
ORD0000042,CUS0000051,16549.17
ORD0000043,CUS0000099,16287.7
ORD0000044,CUS0000038,1799.26
ORD0000045,CUS0000092,2501.56
ORD0000046,CUS0000057,13463.47
ORD0000047,CUS0000096,10102.51
ORD0000048,CUS0000026,16731.08
ORD0000049,CUS0000035,18727.45
ORD0000050,CUS0000090,6160.81
ORD0000051,CUS0000014,12697.86
ORD0000052,CUS0000076,5546.36
ORD0000053,CUS0000007,13726.85
ORD0000054,CUS0000068,5287.76
ORD0000055,CUS0000030,1997.33
ORD0000056,CUS0000053,7275.58
ORD0000057,CUS0000061,2910.35
ORD0000058,CUS0000099,3611.87
ORD0000059,CUS0000071,19580.3
ORD0000060,CUS0000021,8731.24
ORD0000061,CUS0000061,10071.52
ORD0000062,CUS0000026,15362.31
ORD0000063,CUS0000037,7102.19
ORD0000064,CUS0000083,2124.09
ORD0000065,CUS0000099,2699.75
ORD0000066,CUS0000074,5412.18
ORD0000067,CUS0000095,14739.24
ORD0000068,CUS0000005,18351.36
ORD0000069,CUS0000023,8939.81
ORD0000070,CUS0000023,18744.53
ORD0000071,CUS0000005,19946.26
ORD0000072,CUS0000051,15971.25
ORD0000073,CUS0000024,18795.57
ORD0000074,CUS0000038,17658.12
ORD0000075,CUS0000002,6669.45
ORD0000076,CUS0000078,3038.71
ORD0000077,CUS0000043,6406.67
ORD0000078,CUS0000083,11322.71
ORD0000079,CUS0000064,17895.94
ORD0000080,CUS0000018,17170.14
ORD0000081,CUS0000060,6183.9
ORD0000082,CUS0000015,7283.0
ORD0000083,CUS0000094,9719.37
ORD0000084,CUS0000033,14653.37
ORD0000085,CUS0000002,14995.74
ORD0000086,CUS0000038,11787.84
ORD0000087,CUS0000097,4670.06
ORD0000088,CUS0000079,17266.78
ORD0000089,CUS0000052,16712.81
ORD0000090,CUS0000066,7230.61
ORD0000091,CUS0000052,13715.86
ORD0000092,CUS0000024,19652.02
ORD0000093,CUS0000062,7148.43
ORD0000094,CUS0000032,1129.77
ORD0000095,CUS0000050,5474.9
ORD0000096,CUS0000097,6072.89
ORD0000097,CUS0000043,6736.97
ORD0000098,CUS0000093,11884.67
ORD0000099,CUS0000034,13419.98
ORD0000100,CUS0000089,5489.75
ORD0000101,CUS0000086,3246.27
ORD0000102,CUS0000040,4034.62
ORD0000103,CUS0000088,10547.89
ORD0000104,CUS0000091,15626.98
ORD0000105,CUS0000089,3230.9
ORD0000106,CUS0000038,7983.33
ORD0000107,CUS0000029,5163.44
ORD0000108,CUS0000018,10085.46
ORD0000109,CUS0000059,15206.96
ORD0000110,CUS0000078,8098.87
ORD0000111,CUS0000090,11435.46
ORD0000112,CUS0000061,15389.66
ORD0000113,CUS0000086,16686.47
ORD0000114,CUS0000098,5701.84
ORD0000115,CUS0000097,12320.47
ORD0000116,CUS0000011,10984.63
ORD0000117,CUS0000068,14371.56
ORD0000118,CUS0000010,18427.65
ORD0000119,CUS0000015,2173.4
ORD0000120,CUS0000071,18154.88
ORD0000121,CUS0000026,11881.33
ORD0000122,CUS0000020,4126.21
ORD0000123,CUS0000067,9394.97
ORD0000124,CUS0000088,4902.63
ORD0000125,CUS0000075,10287.73
ORD0000126,CUS0000066,9464.17
ORD0000127,CUS0000008,9615.21
ORD0000128,CUS0000066,8893.07
ORD0000129,CUS0000073,2097.0
ORD0000130,CUS0000060,13782.59
ORD0000131,CUS0000040,14742.32
ORD0000132,CUS0000051,5834.69
ORD0000133,CUS0000001,15170.29
ORD0000134,CUS0000075,2387.56
ORD0000135,CUS0000055,7546.05
ORD0000136,CUS0000009,11282.11
ORD0000137,CUS0000008,18757.07
ORD0000138,CUS0000009,19736.61
ORD0000139,CUS0000061,1602.96
ORD0000140,CUS0000053,4419.65
ORD0000141,CUS0000018,15550.73
ORD0000142,CUS0000094,13271.74
ORD0000143,CUS0000054,8114.76
ORD0000144,CUS0000049,9522.21
ORD0000145,CUS0000049,8137.27
ORD0000146,CUS0000088,19318.74
ORD0000147,CUS0000070,3526.81
ORD0000148,CUS0000045,3254.03
ORD0000149,CUS0000069,8468.11
ORD0000150,CUS0000017,14829.3
ORD0000151,CUS0000029,16861.61
ORD0000152,CUS0000097,1431.97
ORD0000153,CUS0000039,9797.07
ORD0000154,CUS0000093,11344.46
ORD0000155,CUS0000069,8206.25
ORD0000156,CUS0000030,5702.73
ORD0000157,CUS0000045,3947.31
ORD0000158,CUS0000025,18810.8
