ORDER_ID,CUSTOMER_ID,AMOUNT
ORD0000001,CUS0000093,609.32
ORD0000002,CUS0000037,6044.06
ORD0000003,CUS0000046,1125.65
ORD0000004,CUS0000065,2206.11
ORD0000005,CUS0000085,4873.68
ORD0000006,CUS0000014,3566.13
ORD0000007,CUS0000072,3738.85
ORD0000008,CUS0000098,2857.83
ORD0000009,CUS0000029,8091.49
ORD0000010,CUS0000072,9748.01
ORD0000011,CUS0000080,6174.38
ORD0000012,CUS0000083,5611.72
ORD0000013,CUS0000078,9297.93
ORD0000014,CUS0000089,2747.73
ORD0000015,CUS0000024,2805.38
ORD0000016,CUS0000098,3158.95
ORD0000017,CUS0000044,3575.13
ORD0000018,CUS0000024,8711.64
ORD0000019,CUS0000073,6607.71
ORD0000020,CUS0000009,1504.56
ORD0000021,CUS0000082,9720.92
ORD0000022,CUS0000012,7486.51
ORD0000023,CUS0000028,3824.32
ORD0000024,CUS0000059,3474.87
ORD0000025,CUS0000048,3185.21
ORD0000026,CUS0000042,7790.67
ORD0000027,CUS0000073,6002.62
ORD0000028,CUS0000007,1640.24
ORD0000029,CUS0000097,6216.6
ORD0000030,CUS0000087,907.66
ORD0000031,CUS0000057,6653.19
ORD0000032,CUS0000063,6110.05
ORD0000033,CUS0000054,2804.35
ORD0000034,CUS0000097,5172.23
ORD0000035,CUS0000045,4356.14
ORD0000036,CUS0000037,6814.36
ORD0000037,CUS0000076,4917.66
ORD0000038,CUS0000086,3153.35
ORD0000039,CUS0000029,4013.11
ORD0000040,CUS0000077,642.34
ORD0000041,CUS0000027,3084.05
ORD0000042,CUS0000028,7696.76
ORD0000043,CUS0000098,2629.64
ORD0000044,CUS0000042,1287.85
ORD0000045,CUS0000064,7495.44
ORD0000046,CUS0000023,1378.94
ORD0000047,CUS0000069,7066.35
ORD0000048,CUS0000065,5631.36
ORD0000049,CUS0000086,8081.38
ORD0000050,CUS0000010,4031.0
ORD0000051,CUS0000095,518.79
ORD0000052,CUS0000003,4651.57
ORD0000053,CUS0000010,8634.89
ORD0000054,CUS0000074,4349.91
ORD0000055,CUS0000052,7124.04
ORD0000056,CUS0000054,2966.2
ORD0000057,CUS0000052,306.48
ORD0000058,CUS0000042,1801.54
ORD0000059,CUS0000080,4654.96
ORD0000060,CUS0000089,9205.72
ORD0000061,CUS0000012,4423.45
ORD0000062,CUS0000014,2508.83
ORD0000063,CUS0000076,4064.45
ORD0000064,CUS0000011,4018.09
ORD0000065,CUS0000040,7483.47
ORD0000066,CUS0000029,3397.38
ORD0000067,CUS0000022,856.16
ORD0000068,CUS0000082,1228.86
ORD0000069,CUS0000066,2019.65
ORD0000070,CUS0000100,3558.82
ORD0000071,CUS0000094,9586.41
ORD0000072,CUS0000083,8168.87
ORD0000073,CUS0000031,1117.76
ORD0000074,CUS0000033,2052.99
ORD0000075,CUS0000078,1613.41
ORD0000076,CUS0000098,6589.54
ORD0000077,CUS0000023,9517.79
ORD0000078,CUS0000081,4991.76
ORD0000079,CUS0000097,5680.98
ORD0000080,CUS0000075,4544.16
ORD0000081,CUS0000073,6465.62
ORD0000082,CUS0000080,3299.76
ORD0000083,CUS0000081,3229.78
ORD0000084,CUS0000057,776.03
ORD0000085,CUS0000057,6350.71
ORD0000086,CUS0000036,5955.06
ORD0000087,CUS0000046,5122.64
ORD0000088,CUS0000040,4671.25
ORD0000089,CUS0000005,663.21
ORD0000090,CUS0000037,859.64
ORD0000091,CUS0000012,6188.58
ORD0000092,CUS0000065,3906.38
ORD0000093,CUS0000075,5587.73
ORD0000094,CUS0000095,8969.18
ORD0000095,CUS0000058,9099.59
ORD0000096,CUS0000074,6553.19
ORD0000097,CUS0000042,6089.56
ORD0000098,CUS0000065,1593.52
ORD0000099,CUS0000008,4560.18
ORD0000100,CUS0000044,9825.62
ORD0000101,CUS0000011,5095.04
ORD0000102,CUS0000023,487.51
ORD0000103,CUS0000091,4433.81
ORD0000104,CUS0000057,5288.28
ORD0000105,CUS0000079,1671.59
ORD0000106,CUS0000048,9187.57
ORD0000107,CUS0000050,4146.82
ORD0000108,CUS0000044,6821.09
ORD0000109,CUS0000007,7913.35
ORD0000110,CUS0000083,3413.03
ORD0000111,CUS0000043,1035.61
ORD0000112,CUS0000087,3926.99
ORD0000113,CUS0000033,7264.96
ORD0000114,CUS0000085,9647.66
ORD0000115,CUS0000078,8745.47
ORD0000116,CUS0000043,906.87
