ORDER_ID,CUSTOMER_ID,AMOUNT
ORD0000001,CUS0000003,3746.74
ORD0000002,CUS0000087,1185.09
ORD0000003,CUS0000054,5878.65
ORD0000004,CUS0000093,8733.78
ORD0000005,CUS0000081,363.81
ORD0000006,CUS0000061,2728.75
ORD0000007,CUS0000084,7850.75
ORD0000008,CUS0000100,5826.9
ORD0000009,CUS0000030,7241.86
ORD0000010,CUS0000075,4856.44
ORD0000011,CUS0000068,6327.35
ORD0000012,CUS0000080,7768.6
ORD0000013,CUS0000049,1562.98
ORD0000014,CUS0000088,2497.75
ORD0000015,CUS0000074,9487.23
ORD0000016,CUS0000015,1988.76
ORD0000017,CUS0000057,3205.56
ORD0000018,CUS0000020,4188.31
ORD0000019,CUS0000027,4162.74
ORD0000020,CUS0000100,6153.63
ORD0000021,CUS0000061,8740.9
ORD0000022,CUS0000095,7301.28
ORD0000023,CUS0000091,1467.02
ORD0000024,CUS0000027,5652.78
ORD0000025,CUS0000085,4835.87
ORD0000026,CUS0000049,3206.15
ORD0000027,CUS0000023,4650.67
ORD0000028,CUS0000069,3489.04
ORD0000029,CUS0000046,6791.1
ORD0000030,CUS0000093,6839.38
ORD0000031,CUS0000089,2717.19
ORD0000032,CUS0000062,2003.42
ORD0000033,CUS0000032,2862.16
ORD0000034,CUS0000039,2326.18
ORD0000035,CUS0000039,7734.63
ORD0000036,CUS0000091,2152.05
ORD0000037,CUS0000091,4941.13
ORD0000038,CUS0000062,3553.15
ORD0000039,CUS0000093,2807.23
ORD0000040,CUS0000016,5777.42
ORD0000041,CUS0000070,3858.97
ORD0000042,CUS0000051,8201.94
ORD0000043,CUS0000099,8065.7
ORD0000044,CUS0000038,516.46
ORD0000045,CUS0000092,882.39
ORD0000046,CUS0000057,6594.12
ORD0000047,CUS0000096,4842.88
ORD0000048,CUS0000026,8296.72
ORD0000049,CUS0000035,9336.94
ORD0000050,CUS0000090,2789.05
ORD0000051,CUS0000014,6195.2
ORD0000052,CUS0000076,2468.89
ORD0000053,CUS0000007,6731.36
ORD0000054,CUS0000068,2334.15
ORD0000055,CUS0000030,619.66
ORD0000056,CUS0000053,3369.91
ORD0000057,CUS0000061,1095.39
ORD0000058,CUS0000099,1460.92
ORD0000059,CUS0000071,9781.32
ORD0000060,CUS0000021,4128.38
ORD0000061,CUS0000061,4826.74
ORD0000062,CUS0000026,7583.52
ORD0000063,CUS0000037,3279.56
ORD0000064,CUS0000083,685.71
ORD0000065,CUS0000099,985.66
ORD0000066,CUS0000074,2398.98
ORD0000067,CUS0000095,7258.87
ORD0000068,CUS0000005,9140.97
ORD0000069,CUS0000023,4237.06
ORD0000070,CUS0000023,9345.83
ORD0000071,CUS0000005,9972.0
ORD0000072,CUS0000051,7900.81
ORD0000073,CUS0000024,9372.43
ORD0000074,CUS0000038,8779.76
ORD0000075,CUS0000002,3054.08
ORD0000076,CUS0000078,1162.28
ORD0000077,CUS0000043,2917.16
ORD0000078,CUS0000083,5478.67
ORD0000079,CUS0000064,8903.67
ORD0000080,CUS0000018,8525.49
ORD0000081,CUS0000060,2801.09
ORD0000082,CUS0000015,3373.77
ORD0000083,CUS0000094,4643.25
ORD0000084,CUS0000033,7214.12
ORD0000085,CUS0000002,7392.52
ORD0000086,CUS0000038,5721.03
ORD0000087,CUS0000097,2012.3
ORD0000088,CUS0000079,8575.85
ORD0000089,CUS0000052,8287.2
ORD0000090,CUS0000066,3346.47
ORD0000091,CUS0000052,6725.63
ORD0000092,CUS0000024,9818.68
ORD0000093,CUS0000062,3303.66
ORD0000094,CUS0000032,167.62
ORD0000095,CUS0000050,2431.66
ORD0000096,CUS0000097,2743.24
ORD0000097,CUS0000043,3089.26
ORD0000098,CUS0000093,5771.49
ORD0000099,CUS0000034,6571.47
ORD0000100,CUS0000089,2439.4
ORD0000101,CUS0000086,1270.43
ORD0000102,CUS0000040,1681.2
ORD0000103,CUS0000088,5074.95
ORD0000104,CUS0000091,7721.43
ORD0000105,CUS0000089,1262.42
ORD0000106,CUS0000038,3738.68
ORD0000107,CUS0000029,2269.37
ORD0000108,CUS0000018,4834.0
ORD0000109,CUS0000059,7502.57
ORD0000110,CUS0000078,3798.89
ORD0000111,CUS0000090,5537.42
ORD0000112,CUS0000061,7597.77
ORD0000113,CUS0000086,8273.47
ORD0000114,CUS0000098,2549.91
ORD0000115,CUS0000097,5998.56
ORD0000116,CUS0000011,5302.52
ORD0000117,CUS0000068,7067.28
ORD0000118,CUS0000010,9180.72
ORD0000119,CUS0000015,711.4
ORD0000120,CUS0000071,9038.59
ORD0000121,CUS0000026,5769.75
ORD0000122,CUS0000020,1728.92
ORD0000123,CUS0000067,4474.22
ORD0000124,CUS0000088,2133.47
ORD0000125,CUS0000075,4939.4
ORD0000126,CUS0000066,4510.28
ORD0000127,CUS0000008,4588.98
ORD0000128,CUS0000066,4212.7
ORD0000129,CUS0000073,671.59
ORD0000130,CUS0000060,6760.4
ORD0000131,CUS0000040,7260.47
ORD0000132,CUS0000051,2619.13
ORD0000133,CUS0000001,7483.46
ORD0000134,CUS0000075,822.99
ORD0000135,CUS0000055,3510.84
