ORDER_ID,CUSTOMER_ID,AMOUNT,DISCOUNT
ORD0000001,CUS0000005,1787.38,22.88
ORD0000002,CUS0000060,2164.45,20.95
ORD0000003,CUS0000013,9531.89,14.95
ORD0000004,CUS0000003,10140.79,17.3
ORD0000005,CUS0000080,4335.3,16.41
ORD0000006,CUS0000097,4778.26,11.82
ORD0000007,CUS0000008,4328.94,24.61
ORD0000008,CUS0000049,1190.61,4.82
ORD0000009,CUS0000064,1079.17,11.61
ORD0000010,CUS0000065,1723.71,5.46
ORD0000011,CUS0000009,5489.2,1.84
ORD0000012,CUS0000008,4275.94,8.88
ORD0000013,CUS0000010,2850.14,3.09
ORD0000014,CUS0000075,3442.94,19.49
ORD0000015,CUS0000008,923.44,18.68
ORD0000016,CUS0000083,4545.11,9.94
ORD0000017,CUS0000068,11641.1,13.16
ORD0000018,CUS0000017,4317.62,23.43
ORD0000019,CUS0000007,13763.86,8.04
ORD0000020,CUS0000094,1337.04,18.13
ORD0000021,CUS0000071,3481.95,8.91
ORD0000022,CUS0000100,3778.59,10.85
ORD0000023,CUS0000056,686.04,29.0
ORD0000024,CUS0000078,3981.45,10.74
ORD0000025,CUS0000083,888.03,19.94
ORD0000026,CUS0000020,10740.91,9.23
ORD0000027,CUS0000089,10351.89,13.29
ORD0000028,CUS0000005,1159.55,3.17
ORD0000029,CUS0000016,1067.15,0.51
ORD0000030,CUS0000099,14038.18,26.55
ORD0000031,CUS0000044,6185.41,15.97
ORD0000032,CUS0000034,14373.44,21.09
ORD0000033,CUS0000044,13572.11,11.57
ORD0000034,CUS0000092,5334.09,21.53
ORD0000035,CUS0000087,2320.97,20.55
ORD0000036,CUS0000074,2315.58,17.83
ORD0000037,CUS0000053,4606.04,9.82
ORD0000038,CUS0000045,5518.42,16.13
ORD0000039,CUS0000025,12062.11,28.95
ORD0000040,CUS0000086,7334.25,9.0
ORD0000041,CUS0000045,6877.85,6.5
ORD0000042,CUS0000050,13227.35,11.67
ORD0000043,CUS0000008,2562.43,1.84
ORD0000044,CUS0000004,606.85,25.83
ORD0000045,CUS0000066,13879.76,15.11
ORD0000046,CUS0000065,4780.04,17.37
ORD0000047,CUS0000034,7196.19,13.47
ORD0000048,CUS0000051,6546.1,0.18
ORD0000049,CUS0000090,7195.34,16.99
ORD0000050,CUS0000054,1404.57,12.75
ORD0000051,CUS0000002,1340.78,3.49
ORD0000052,CUS0000041,7611.39,4.02
ORD0000053,CUS0000074,1181.32,7.28
ORD0000054,CUS0000031,697.32,8.05
ORD0000055,CUS0000090,14359.62,25.12
ORD0000056,CUS0000010,2667.84,10.19
ORD0000057,CUS0000041,7232.89,21.89
ORD0000058,CUS0000061,14703.89,4.51
