PRODUCT_ID,PRODUCT_PRICE,PRODUCT_TYPE
PRD-1,337.83,STANDARD
PRD-2,336.92,STANDARD
PRD-3,380.22,PREMIUM
PRD-4,934.76,STANDARD
PRD-5,895.86,PREMIUM
PRD-6,860.42,STANDARD
PRD-7,484.88,STANDARD
PRD-8,497.81,PREMIUM
PRD-9,964.21,PREMIUM
PRD-10,794.71,STANDARD
PRD-11,850.66,STANDARD
PRD-12,180.4,STANDARD
PRD-13,949.53,STANDARD
PRD-14,983.0,PREMIUM
PRD-15,574.65,PREMIUM
PRD-16,126.25,STANDARD
PRD-17,810.93,PREMIUM
PRD-18,192.11,PREMIUM
PRD-19,34.9,PREMIUM
PRD-20,962.07,PREMIUM
PRD-21,789.0,PREMIUM
PRD-22,596.75,STANDARD
PRD-23,436.71,STANDARD
PRD-24,233.18,PREMIUM
PRD-25,93.54,STANDARD
PRD-26,224.35,STANDARD
PRD-27,160.02,STANDARD
PRD-28,287.43,PREMIUM
PRD-29,323.59,STANDARD
PRD-30,504.5,STANDARD
PRD-31,93.94,PREMIUM
PRD-32,19.07,PREMIUM
PRD-33,949.03,STANDARD
PRD-34,981.81,STANDARD
PRD-35,78.66,PREMIUM
PRD-36,498.42,STANDARD
PRD-37,732.98,PREMIUM
PRD-38,264.25,STANDARD
PRD-39,123.48,STANDARD
PRD-40,329.03,STANDARD
PRD-41,322.55,STANDARD
PRD-42,184.52,PREMIUM
PRD-43,89.89,PREMIUM
PRD-44,317.37,PREMIUM
PRD-45,610.12,PREMIUM
PRD-46,147.55,PREMIUM
PRD-47,251.95,PREMIUM
PRD-48,170.84,PREMIUM
PRD-49,841.78,PREMIUM
PRD-50,535.6,STANDARD
