PRODUCT_ID,PRODUCT_PRICE,PRODUCT_TYPE,CUSTOMER_ID
PRD-1,337.83,STANDARD,CUS-27
PRD-2,336.92,STANDARD,CUS-81
PRD-3,380.22,PREMIUM,CUS-52
PRD-4,934.76,STANDARD,CUS-59
PRD-5,895.86,PREMIUM,CUS-78
PRD-6,860.42,STANDARD,CUS-96
PRD-7,484.88,STANDARD,CUS-57
PRD-8,497.81,PREMIUM,CUS-89
PRD-9,964.21,PREMIUM,CUS-23
PRD-10,794.71,STANDARD,CUS-95
PRD-11,850.66,STANDARD,CUS-4
PRD-12,180.4,STANDARD,CUS-52
PRD-13,949.53,STANDARD,CUS-67
PRD-14,983.0,PREMIUM,CUS-17
PRD-15,574.65,PREMIUM,CUS-15
PRD-16,126.25,STANDARD,CUS-14
PRD-17,810.93,PREMIUM,CUS-68
PRD-18,192.11,PREMIUM,CUS-21
PRD-19,34.9,PREMIUM,CUS-87
PRD-20,962.07,PREMIUM,CUS-94
PRD-21,789.0,PREMIUM,CUS-43
PRD-22,596.75,STANDARD,CUS-8
PRD-23,436.71,STANDARD,CUS-97
PRD-24,233.18,PREMIUM,CUS-17
PRD-25,93.54,STANDARD,CUS-30
PRD-26,224.35,STANDARD,CUS-93
PRD-27,160.02,STANDARD,CUS-65
PRD-28,287.43,PREMIUM,CUS-5
PRD-29,323.59,STANDARD,CUS-72
PRD-30,504.5,STANDARD,CUS-37
PRD-31,93.94,PREMIUM,CUS-99
PRD-32,19.07,PREMIUM,CUS-51
PRD-33,949.03,STANDARD,CUS-80
PRD-34,981.81,STANDARD,CUS-17
PRD-35,78.66,PREMIUM,CUS-44
PRD-36,498.42,STANDARD,CUS-18
PRD-37,732.98,PREMIUM,CUS-16
PRD-38,264.25,STANDARD,CUS-45
PRD-39,123.48,STANDARD,CUS-41
PRD-40,329.03,STANDARD,CUS-2
PRD-41,322.55,STANDARD,CUS-55
PRD-42,184.52,PREMIUM,CUS-63
PRD-43,89.89,PREMIUM,CUS-32
PRD-44,317.37,PREMIUM,CUS-65
PRD-45,610.12,PREMIUM,CUS-73
PRD-46,147.55,PREMIUM,CUS-58
PRD-47,251.95,PREMIUM,CUS-87
PRD-48,170.84,PREMIUM,CUS-64
PRD-49,841.78,PREMIUM,CUS-33
PRD-50,535.6,STANDARD,CUS-61
