CUSTOMER_ID,CUSTOMER_TYPE,CREDIT_LIMIT,CUSTOMER_STATUS
CUST-1,STANDARD,4965.701177668842,STANDARD
CUST-2,PREMIUM,3695.945252904497,PRIORITY
CUST-3,STANDARD,1013.0492719593018,STANDARD
CUST-4,PREMIUM,4421.308656420024,PRIORITY
CUST-5,PREMIUM,7785.360803664101,PRIORITY
CUST-6,PREMIUM,1328.4054106070046,PRIORITY
CUST-7,STANDARD,7725.0188699246955,STANDARD
CUST-8,STANDARD,6143.647125403781,STANDARD
CUST-9,PREMIUM,5577.60552407559,PRIORITY
CUST-10,STANDARD,9714.657187150811,STANDARD
CUST-11,STANDARD,6373.3274157333735,STANDARD
CUST-12,STANDARD,5452.911113554089,STANDARD
CUST-13,STANDARD,6354.945490948652,STANDARD
CUST-14,STANDARD,1811.2084639470738,STANDARD
CUST-15,STANDARD,6756.22013888243,STANDARD
CUST-16,PREMIUM,5259.7518139481035,PRIORITY
CUST-17,STANDARD,1170.2265693249572,STANDARD
CUST-18,PREMIUM,3484.355372365436,PRIORITY
CUST-19,STANDARD,7823.681435170027,STANDARD
CUST-20,PREMIUM,4815.754502562194,PRIORITY
CUST-21,PREMIUM,9744.648617481838,PRIORITY
CUST-22,PREMIUM,9499.118945503691,PRIORITY
CUST-23,PREMIUM,2015.2784171189433,PRIORITY
CUST-24,STANDARD,8934.469755953389,STANDARD
CUST-25,PREMIUM,2895.5882038265513,PRIORITY
CUST-26,STANDARD,1407.7827264787775,STANDARD
CUST-27,STANDARD,5601.628504119205,STANDARD
CUST-28,PREMIUM,2756.2965731447966,PRIORITY
CUST-29,PREMIUM,5359.910713384798,PRIORITY
CUST-30,PREMIUM,3912.0890175515465,PRIORITY
CUST-31,STANDARD,8210.678310749474,STANDARD
CUST-32,PREMIUM,9228.68356962193,PRIORITY
CUST-33,PREMIUM,3859.450744240612,PRIORITY
CUST-34,STANDARD,9987.25021673391,STANDARD
CUST-35,STANDARD,6563.956732347231,STANDARD
CUST-36,STANDARD,3896.512304538488,STANDARD
CUST-37,STANDARD,3589.3599540360206,STANDARD
CUST-38,STANDARD,2458.0724477895765,STANDARD
CUST-39,STANDARD,9352.351785835508,STANDARD
CUST-40,PREMIUM,6770.216318647144,PRIORITY
CUST-41,PREMIUM,7683.61799130579,PRIORITY
CUST-42,STANDARD,6802.767829809376,STANDARD
CUST-43,STANDARD,1495.7074598242864,STANDARD
CUST-44,STANDARD,5312.062476798511,STANDARD
CUST-45,STANDARD,9788.589616179555,STANDARD
CUST-46,STANDARD,3478.535144952752,STANDARD
CUST-47,STANDARD,7920.148254435998,STANDARD
CUST-48,PREMIUM,9688.273052446513,PRIORITY
CUST-49,STANDARD,2973.629739187917,STANDARD
CUST-50,STANDARD,8734.930861049661,STANDARD
CUST-51,STANDARD,3346.711783142585,STANDARD
CUST-52,STANDARD,1419.8357023607941,STANDARD
CUST-53,STANDARD,1392.6365306607486,STANDARD
CUST-54,STANDARD,2713.4552792820614,STANDARD
CUST-55,STANDARD,1168.4770560556644,STANDARD
CUST-56,STANDARD,7817.589502057741,STANDARD
CUST-57,STANDARD,5002.739979100737,STANDARD
CUST-58,STANDARD,7866.168284536719,STANDARD
CUST-59,PREMIUM,9203.931646848318,PRIORITY
CUST-60,STANDARD,1339.5204199769523,STANDARD
CUST-61,STANDARD,6981.01812838438,STANDARD
CUST-62,STANDARD,6980.3467793129585,STANDARD
CUST-63,STANDARD,6624.275993640369,STANDARD
CUST-64,PREMIUM,6647.3154717902025,PRIORITY
CUST-65,PREMIUM,3992.0867226820233,PRIORITY
CUST-66,PREMIUM,2004.0030053623336,PRIORITY
CUST-67,PREMIUM,3652.9431481897377,PRIORITY
CUST-68,STANDARD,8609.830127372465,STANDARD
CUST-69,STANDARD,1252.5696507656455,STANDARD
CUST-70,STANDARD,8408.233164076464,STANDARD
CUST-71,PREMIUM,4663.712127162233,PRIORITY
CUST-72,STANDARD,7428.771954443584,STANDARD
CUST-73,STANDARD,1756.4273950866225,STANDARD
CUST-74,STANDARD,7205.305087212708,STANDARD
CUST-75,STANDARD,1475.2006346334015,STANDARD
CUST-76,STANDARD,5808.115573539006,STANDARD
CUST-77,STANDARD,5747.359752727293,STANDARD
CUST-78,PREMIUM,1635.1169546764309,PRIORITY
CUST-79,STANDARD,8828.634170948753,STANDARD
CUST-80,STANDARD,5502.15665407039,STANDARD
CUST-81,STANDARD,8091.145258769599,STANDARD
CUST-82,STANDARD,2038.1320643807408,STANDARD
CUST-83,STANDARD,1917.396165189259,STANDARD
CUST-84,STANDARD,8070.374056312998,STANDARD
CUST-85,STANDARD,7669.129729670595,STANDARD
CUST-86,STANDARD,8331.957435089314,STANDARD
CUST-87,PREMIUM,1634.0211396820628,PRIORITY
CUST-88,STANDARD,8353.250178397493,STANDARD
CUST-89,STANDARD,7506.311107767085,STANDARD
CUST-90,PREMIUM,3776.4373714046424,PRIORITY
CUST-91,STANDARD,8802.050326449535,STANDARD
CUST-92,PREMIUM,9719.801816980702,PRIORITY
CUST-93,PREMIUM,3614.044103083371,PRIORITY
CUST-94,STANDARD,4038.059679927928,STANDARD
CUST-95,PREMIUM,7378.5075254237145,PRIORITY
CUST-96,STANDARD,7683.397408746364,STANDARD
CUST-97,STANDARD,3047.3104902787168,STANDARD
CUST-98,PREMIUM,5730.162869635745,PRIORITY
CUST-99,STANDARD,8810.191669613501,STANDARD
CUST-100,STANDARD,5927.4935337170355,STANDARD
