KUNNR,LAND1,NAME1,CUSTOMER_CODE,CUSTOMER_GROUP,CREDIT_LIMIT,ACTIVE
1,US,VrpoiVgR,CUST-8196-CB,DOMESTIC,22645.159505556734,True
2,FR,TPSIAoCLrZa,CUST-2654-JN,EXPORT,11118.817375465022,False
3,US,wMqZcUDIhyfJs,CUST-9593-tE,DOMESTIC,66465.06853820331,False
4,US,gyrDOxkxwnQ,CUST-4192-iu,DOMESTIC,17176.846882430913,False
5,IN,SJoRuXXdocZuzrenKT,CUST-5376-46,EXPORT,15144.287453764204,True
6,IN,BJDKvqGyz,CUST-9060-9G,DOMESTIC,27116.857426779665,False
7,FR,uKBopHGw,CUST-7308-Xt,EXPORT,60496.58493585484,True
8,DE,UcivgxLyGIqgPoSvnEVh,CUST-6954-4x,DOMESTIC,81102.2290436278,False
9,IN,KcEtKXzqUHZoMhOn,CUST-6749-7j,DOMESTIC,44944.74985080831,True
10,FR,ZWferGNIEYZBxWcMqP,CUST-9875-1B,DOMESTIC,21925.107905644698,False
11,IN,UGExAcik,CUST-6257-oA,DOMESTIC,54869.404065096496,False
12,US,ekkEoOrFXFA,CUST-1096-8F,EXPORT,67446.46831864414,False
13,FR,jzHQHTlrfu,CUST-2696-mB,DOMESTIC,1424.2675470587308,False
14,GB,kUhWlfiOMn,CUST-4389-bE,DOMESTIC,74687.95395264869,True
15,DE,oKCMjZpHRRWyHQme,CUST-2090-XQ,DOMESTIC,41175.85594422444,True
16,US,LMboGuEsBOybV,CUST-2895-YZ,DOMESTIC,65872.38370865007,False
17,FR,PNiKjiyJjLBG,CUST-2965-kh,DOMESTIC,24497.667142614268,False
18,GB,nACaODCbydNvCHWcTD,CUST-8904-AT,EXPORT,37185.72943221629,False
19,US,RkidQRBrTkaqTAp,CUST-2901-wC,EXPORT,32205.712672176345,True
20,FR,QcKJlbgkWTC,CUST-8217-Ki,EXPORT,85188.1478539198,False
