MATNR,MTART,MATKL,MEINS,BRGEW,LAENG,HOEHE,LVORM
1,FERT,Vrpoi,EA,2.811460417586422,99,303,False
2,FERT,fnoGM,EA,0.36998191080381204,728,280,False
3,HALB,LrZ3aWZk,M,-0.3245092038415982,990,391,False
4,FERT,ygw2w,L,1.9494970395697655,559,64,False
5,FERT,s1ON43xKm,EA,-1.0091298305509946,306,41,True
6,ROH,BJDKv,L,0.03513692357903789,51,408,False
7,FERT,aq89Y,M,0.7913407315033983,447,118,True
8,ROH,9pcJxTSw,L,0.4163813712498641,254,404,True
9,HALB,gxLyGI0,L,-1.5572618502789022,352,112,False
10,FERT,MwR3s4XZ,KG,-0.5646769671938245,505,160,False
