KUNNR,VBELN,AUART,VKORG,VTWEG,ERDAT,GBSTK,NETWR
1,1,OR,1000,30,4332-18-19,A,1685.9557061410012
2,2,OR,1000,10,8908-38-63,A,29504.357625407843
3,3,OR,1000,30,6542-35-11,A,4926.1472039898545
4,4,RE,3000,20,0781-61-84,A,28909.872048312427
5,5,OR,1000,30,3413-16-47,A,8216.439448088633
6,6,RE,1000,20,8795-48-66,A,39774.62779048664
7,7,OR,1000,10,4780-59-63,A,26211.152917491207
8,8,RE,2000,10,0855-95-89,A,12007.0976738006
9,9,OR,1000,20,1596-88-41,A,46357.993318814726
10,10,RE,1000,20,1695-43-84,A,26680.95106044893
