VBELN,POSNR,MATNR,KWMENG,VRKME,NETWR,PSTYV
1,91,2,1,L,-0.508616386057752,TAN
2,96,9,1,M,-1.1523850363093195,TAD
3,93,9,25,KG,-0.12071511485707893,TAN
4,30,7,10,L,-0.3089835340742219,TAN
5,55,6,50,L,1.9494970395697655,TAN
6,55,2,25,M,0.1635439787957095,TANN
7,60,10,1,M,1.815562423733943,TAN
8,50,10,25,KG,-0.9256530994461641,TANN
9,40,1,50,L,0.5750701678594211,TAS
10,81,10,5,KG,1.8280051742773784,TAN
1,44,1,100,M,0.9686005072632096,TAN
2,27,3,25,KG,1.4241836785882105,TAN
3,14,9,25,M,-0.7351694521903022,TAS
4,72,8,25,EA,0.39580712783618277,TAS
5,79,3,5,M,0.07462355738200498,TAD
6,15,6,50,EA,-0.6953904541024927,TANN
7,47,7,100,M,0.07242816421281392,TANN
8,60,2,100,M,0.42627724346190543,TAD
9,82,3,5,M,0.1142508229643362,TANN
10,75,3,50,M,-0.4804183410796617,TAD
