VBELN,ADRNR,PARVW,KUNNR,PARZA,DEFPA
1,ACONT-10433,AG,1,3,True
2,ACONT-01338,WE,3,1,True
3,ACONT-79402,RG,1,1,True
4,ACONT-16155,WE,4,5,True
5,ACONT-18495,WE,9,4,True
6,ACONT-51687,RE,2,4,False
7,ACONT-06010,RE,5,5,False
8,ACONT-33885,RG,10,1,False
9,ACONT-58933,AG,2,1,False
10,ACONT-88413,RG,9,1,False
1,ACONT-10433,RE,1,5,False
2,ACONT-01338,RE,7,1,True
3,ACONT-79402,WE,7,2,False
4,ACONT-16155,RG,1,1,False
5,ACONT-18495,RG,1,2,True
6,ACONT-51687,AG,6,5,True
7,ACONT-06010,WE,9,3,False
8,ACONT-33885,RE,7,4,True
9,ACONT-58933,WE,9,5,False
10,ACONT-88413,AG,7,1,False
