ORDER_ID,PRODUCT_ID,ITEM_NO,QUANTITY,UNIT,LINE_VALUE
1,1,24,1,L,423.7075420913372
2,2,23,100,EA,524.0507603179207
3,3,21,5,KG,501.4156371223492
4,4,35,100,M,324.8532479255106
5,5,10,5,M,451.32361942376025
6,6,55,1,M,532.1594910506552
7,7,42,50,M,471.1344940637473
8,8,63,100,EA,618.7011097255097
9,9,64,5,KG,509.3427664351431
10,10,40,1,L,586.2605251789132
11,11,44,1,M,645.2900760894814
12,12,14,5,KG,520.2065991714173
1,13,40,1,KG,389.7245821714547
2,14,45,25,M,348.3787375630892
3,15,89,25,EA,559.3710691754275
4,1,15,10,EA,395.6914318846261
5,2,71,10,M,801.7318245137027
6,3,12,100,KG,510.86422463192207
7,4,58,25,EA,645.6049708544538
8,5,72,50,L,710.1765829666151
9,6,83,5,EA,411.282618644837
10,7,55,5,KG,315.95257224348904
11,8,76,1,L,675.2137114203364
12,9,51,50,M,542.1795921054473
