CUSTOMER_ID,ORDER_ID,ORDER_TYPE,ORDER_CODE,NET_VALUE,STATUS
1,1,STANDARD,ORD-043321,67702.27879354884,COMPLETED
2,2,STANDARD,ORD-960013,23342.823249734884,COMPLETED
3,3,STANDARD,ORD-838637,58967.64181920328,OPEN
4,4,EXPRESS,ORD-654235,10310.806624332887,RELEASED
5,5,STANDARD,ORD-559407,53669.1863363246,RELEASED
6,6,RETURN,ORD-168795,25817.044717022716,RELEASED
7,7,SERVICE,ORD-906010,26454.28340338675,RELEASED
8,8,STANDARD,ORD-596338,51443.87820267902,RELEASED
9,9,EXPRESS,ORD-085595,55823.26496953365,OPEN
10,10,EXPRESS,ORD-025159,38419.51130017448,COMPLETED
11,11,RETURN,ORD-087560,91932.37510482245,OPEN
12,12,SERVICE,ORD-257008,38779.682076351266,OPEN
